OP,A1,A2 
+,2041,7654
+,15520,4946
+,12631,6897
+,13991,4285
+,12793,9916
+,5611,1985
+,11141,7216
+,12637,11421
-,2,0
+,15591,13316
+,9628,3465
+,14140,14614
+,13099,13081
+,1142,7039
+,7086,11989
-,885,0
+,964,478
+,11503,4208
+,19676,9309
+,16602,7872
+,19834,12772
+,19254,18225
+,3456,870
-,18,0
+,8118,7457
+,7572,13746
+,18327,15009
+,14937,5032
+,12437,7929
+,14426,7229
+,3806,7994
+,15607,5263
+,7463,5415
+,15738,13241
-,351,0
+,7305,11680
+,16003,18914
+,15202,12808
+,11082,4962
+,14117,13032
+,12240,14944
+,2187,11844
+,13600,16579
+,12862,10987
+,11566,3235
+,2980,9523
+,15901,12218
+,9617,3527
+,10551,7942
+,19066,6807
+,3449,11693
+,15347,13933
+,18483,10640
+,12340,729
+,1579,18254
+,17453,9117
+,16123,6507
+,746,11014
+,1470,155
+,15673,13736
+,9566,1125
+,12184,15252
+,11815,10254
+,5974,7506
+,15108,616
+,14193,1637
+,11261,12227
+,16091,18684
+,12137,10759
+,15274,8909
+,18126,11449
+,10181,5600
+,16314,9343
+,1829,14674
+,3584,3412
+,3,8772
+,1952,19097
+,7479,18244
-,294,0
+,18725,15385
+,11009,9897
+,5237,16416
+,5238,2962
+,3948,12356
+,1083,8950
+,11153,5160
+,4823,1382
-,870,0
+,9381,6207
+,2936,18105
+,3414,17782
+,2784,18287
+,15189,11984
+,1862,4702
+,11682,9559
+,14384,1568
+,714,3210
+,13074,16860
+,13678,1013
+,15512,18175
+,38,12463
+,5319,10519
+,7624,205
+,13546,8062
+,13084,4308
+,3893,19122
+,17585,11098
+,8419,8267
+,1452,4249
+,14521,19636
+,1739,5365
+,14003,2807
+,12475,3678
+,2814,199
+,8292,13152
+,18824,5161
+,496,16244
+,17206,6916
+,5184,14363
-,331,0
-,106,0
+,10772,3412
+,4192,8912
+,11198,8179
+,3698,15871
+,14809,17562
+,7131,14058
+,7039,19410
+,7346,3565
+,15187,6469
+,1395,18632
+,4866,2659
+,3008,9540
-,503,0
-,278,0
+,15395,14119
+,6429,2389
+,14888,19356
+,11648,7809
+,2357,15466
+,15680,5460
+,6041,11585
+,4097,8300
+,3093,11150
+,14586,19699
+,10592,3516
+,19476,11280
+,2299,2770
+,1540,1181
+,6671,17333
+,8833,13939
+,7347,15088
+,18997,826
+,7564,3910
+,7312,7805
+,6910,6687
+,4157,10655
-,896,0
+,16638,6340
+,17190,7449
+,5695,311
+,14825,13865
+,457,12345
+,2781,13130
+,7989,7199
+,10964,17268
+,15455,4671
+,3428,5219
+,14470,10915
+,12788,6785
+,17571,1111
+,18977,5732
+,7663,19306
+,3051,15377
+,9789,17815
+,2165,9702
+,12781,51
+,15789,1129
+,11362,11381
+,8111,435
+,4402,2992
+,19662,5445
+,13649,10015
+,13360,6277
+,18391,67
+,12083,4532
+,6247,19836
+,9811,9384
+,3525,14941
+,14147,10936
+,13871,1583
+,11057,9209
+,16569,16052
+,18847,5834
+,14379,4056
+,2959,15481
+,6354,10038
+,2441,17373
+,11999,14234
+,14697,9146
+,10534,14057
+,14270,5712
+,5829,1066
+,14736,12688
+,10011,8737
+,13522,8169
+,11077,2553
+,2413,10654
+,3227,18510
+,4633,14287
+,11157,5283
+,2820,10570
+,15988,11441
+,17625,16709
+,3978,112
+,17813,9098
+,316,7878
+,4666,16009
+,15629,3340
+,12373,13843
+,19918,6377
+,3506,14714
+,14999,11212
+,7454,7972
+,29,10881
+,10144,6459
+,18841,15921
+,19153,12279
+,7,16223
+,4390,11688
+,9452,6217
+,10411,7842
+,5957,17439
+,3980,4075
+,17697,2126
+,7845,11393
+,16278,9279
+,16949,12377
+,11507,13131
+,7432,15705
+,17424,12053
+,7783,5952
+,12886,9642
+,14700,4469
+,19920,18611
+,16044,11220
+,15991,8531
+,16707,14376
+,12135,12659
+,7946,15711
+,10159,1207
+,2131,18832
+,300,19288
+,13896,1652
+,1326,15717
+,18662,3927
+,3119,833
+,7435,12477
+,11779,16807
+,279,11138
+,16504,16999
+,6739,10577
+,18395,5719
+,3760,138
+,12720,1531
+,5272,1822
+,10577,13649
+,15788,18069
+,9773,2964
+,8788,16081
+,14523,12992
+,3532,2344
+,17540,4098
+,13161,13564
+,12024,18633
-,303,0
+,11649,1248
+,16232,17815
-,157,0
+,13961,19292
+,16309,7624
+,6121,1919
+,2209,2683
+,18371,8663
+,17441,17855
+,19964,3107
+,13575,7394
+,16032,17311
+,13201,16535
+,5351,5689
+,9207,6082
+,4318,18517
+,2951,17426
+,16096,2835
+,13768,7449
+,620,10451
+,12382,10181
+,2513,2209
+,13053,7976
+,8152,8339
+,3548,16017
+,17576,10897
+,8887,14008
+,19825,1032
+,6134,17822
+,9132,855
-,422,0
-,663,0
+,2908,14003
+,9111,1324
+,4393,15321
+,13940,9257
+,12579,4211
+,13629,9019
+,12142,18257
+,187,2438
-,331,0
+,3049,4449
+,18775,2399
+,228,9665
+,15990,13565
+,11863,11844
+,9456,2637
+,15398,1587
+,12190,18069
+,5095,4982
+,3002,14693
+,14219,2958
+,12655,7718
+,17724,5506
+,9735,4347
+,5205,16742
+,12244,12668
+,1037,17201
+,16866,19700
+,13106,16642
+,18571,17889
+,1341,17136
+,13617,9493
+,19794,10186
+,11782,18041
+,8178,6120
-,989,0
-,336,0
+,13102,15892
+,4634,13046
+,11326,5404
+,19337,9059
+,14471,1535
+,540,8160
+,1738,15773
+,5958,7085
+,19347,11877
+,15186,4124
+,1845,11076
+,13680,6236
+,318,5828
+,10780,3816
+,1894,11963
+,6504,14672
+,16181,19326
+,6029,11404
+,14192,16417
+,18851,5225
+,11397,19679
-,290,0
+,5635,4505
+,1887,7093
+,14810,14744
+,16287,8715
+,17968,14048
+,6393,3024
+,1041,15979
+,13467,15814
+,10892,4429
-,405,0
+,6592,14219
+,16182,9691
+,9216,16144
+,4109,990
+,3590,18866
+,18710,8494
+,4152,6347
+,19735,3054
+,5527,5625
+,3864,12111
+,17894,9235
+,14266,4291
+,8943,16974
+,1329,14806
+,3045,17083
+,6714,3300
+,12805,14919
+,8406,4494
+,19710,5885
+,13684,10911
+,15357,12184
+,18959,13409
+,1714,8520
+,9785,16999
+,9292,7275
-,380,0
+,16783,7717
+,19329,3367
+,9614,13971
+,12271,8388
+,11933,4957
+,18830,161
-,756,0
+,17001,4553
+,11303,18271
+,16788,6414
+,19208,1920
+,13683,317
+,14991,17336
+,11388,13292
+,10067,14829
+,15961,1750
+,15174,14621
+,8129,14768
+,2520,11523
+,15130,8133
+,10081,18438
+,2527,11479
+,15052,9107
+,18232,11710
+,11671,3391
+,3485,16909
+,13278,4107
+,17256,17888
+,1233,11551
+,4567,16057
+,15456,17601
+,4871,13376
+,701,5492
+,4213,223
+,16255,18246
+,3326,9360
-,613,0
+,2178,15394
+,13184,19451
+,10335,9238
+,5723,3079
+,527,841
+,19109,19491
+,3033,18498
+,6035,17383
+,18418,5079
+,14335,16784
+,15581,4848
+,15518,6723
+,19899,9850
+,14111,14138
+,16434,639
+,8262,6238
+,14926,12567
+,17883,13807
+,11812,10640
+,10310,16322
+,18537,12330
+,7378,11806
+,5464,5273
+,9606,8322
+,9311,202
+,956,7070
+,13332,16620
+,9032,194
+,18868,5285
+,18744,8513
+,14581,9699
+,17584,9746
+,631,8559
+,13258,9675
+,3786,14390
+,6138,19791
+,1192,12816
+,7598,7460
+,19905,8431
+,17770,18841
+,13406,1045
+,5849,18021
+,1756,16135
+,13671,6565
+,10123,6928
+,17370,4339
-,660,0
+,9037,14175
+,11190,13225
-,844,0
+,6692,15553
+,14010,6902
+,17701,7533
+,14450,7051
+,6353,19725
+,10426,16196
+,975,7992
+,16670,19652
+,1317,11423
+,5438,9172
+,16525,12293
+,748,727
+,1575,12504
+,7147,2895
+,7836,5347
-,800,0
+,1425,19152
+,7318,19466
+,18624,5763
+,14243,6614
+,17975,1514
-,740,0
+,7138,8407
+,15116,226
+,8636,10760
+,11123,16905
+,4642,12186
+,1565,11203
+,7547,9638
+,531,14852
+,17288,12966
+,12217,700
-,232,0
+,10491,12223
+,18638,18144
+,2144,4881
+,9711,7734
+,19451,3294
+,13349,4036
+,2735,13566
+,6575,17925
+,3345,18228
+,7710,19245
+,740,17567
+,15018,5080
+,16247,9243
+,16612,19321
+,19427,593
+,5608,10301
+,6399,2617
+,19942,16922
+,8999,17515
-,64,0
+,1788,13582
+,1793,8747
+,18227,11951
-,23,0
+,11524,19197
+,3030,7042
+,12797,9113
+,8231,3541
+,9271,7160
+,3026,12754
+,16592,3200
+,15235,1025
+,17766,8954
+,13587,16443
+,16447,427
+,3621,17861
+,18431,1420
+,15889,11114
+,327,10579
+,13480,9680
+,16470,13763
+,990,9305
+,11893,7142
+,3181,9470
+,10860,16494
+,10844,11754
-,129,0
-,350,0
+,8853,15365
+,16418,10987
+,14164,2887
+,17613,10873
+,11183,19449
+,5528,14720
+,8860,14705
+,1564,7155
+,8050,13448
+,2360,6540
+,2162,19793
+,5118,14365
+,10153,6267
+,15000,11133
+,13199,4617
-,597,0
-,982,0
+,8031,17573
+,16432,11814
+,19750,18358
+,10095,8318
+,13626,8978
+,6103,11891
+,15268,17050
+,13363,18094
+,11262,12229
+,950,5840
+,1414,10440
+,7655,14096
+,4454,1459
+,11879,7977
-,215,0
+,12441,13745
+,14891,17117
+,727,9651
-,286,0
+,678,7520
+,18958,11221
+,4549,12786
+,8511,6987
+,4980,10770
+,3363,18040
+,6994,10962
+,4810,4196
+,16339,5242
+,4999,18064
-,376,0
+,10256,12063
+,5151,11632
+,16643,6901
+,4310,13871
+,14056,8861
-,716,0
+,12854,10636
+,17047,19672
+,3595,5456
-,615,0
+,14247,14104
+,15318,9489
+,10155,12547
+,9194,4541
+,1604,3068
-,930,0
+,16041,6616
+,14978,17546
+,13919,5586
-,302,0
+,2917,514
+,2642,4320
+,9530,15753
+,8654,11832
+,7666,5857
+,16249,14006
+,17686,18849
+,13549,8694
+,14863,3325
+,6426,16135
+,9658,9393
+,8862,16156
+,17857,13256
+,11674,11540
+,11485,16127
+,13316,12593
+,9740,14265
+,16273,12614
+,4534,16650
-,508,0
+,5676,16053
+,10887,14114
+,963,934
+,13298,12311
+,13345,5061
+,10021,13810
+,5158,17760
+,8170,18512
+,9686,9860
+,12029,738
+,6917,6403
+,11785,8877
+,776,9885
+,929,11499
+,1210,2375
+,15929,14175
+,8143,2543
+,3502,8612
+,7489,10872
+,1874,18752
+,4423,9561
+,5475,14554
+,10127,10761
+,10148,19473
+,52,3625
+,17437,3214
+,13666,15006
+,15197,5509
+,193,15734
+,7919,19702
+,11850,16512
+,3918,8881
+,5820,64
+,6975,914
+,5219,1727
+,15341,9002
+,15038,14266
+,9829,12753
+,7034,13882
+,3734,16093
+,6929,2638
+,7196,17711
+,2164,1805
+,1484,18588
+,8498,15649
+,17966,13445
+,19110,6618
+,4135,17242
+,847,14322
+,9241,9467
+,615,4359
+,5495,4482
+,7001,12604
+,18169,11919
-,79,0
+,11942,7930
+,7623,6841
+,2118,8748
+,13814,7684
+,14392,16623
+,5900,14671
+,6814,59
+,19608,18307
+,423,14505
+,18410,6783
+,489,14377
+,595,1173
+,9101,19600
+,8014,2197
+,13448,4862
+,10957,9210
+,7181,5810
+,4032,11429
+,5927,2896
+,5655,6235
+,13376,2531
+,5145,14242
+,3996,7717
+,14696,4640
+,7881,4484
+,908,13492
+,3570,18469
+,9470,4882
+,12742,7916
+,606,7117
+,17087,18563
+,5340,1010
+,12432,14287
+,19513,122
+,18495,17805
+,12091,17915
+,10811,11959
+,11368,11811
+,18861,5633
+,2048,9907
+,15609,11552
+,18133,7507
+,11832,6567
+,9908,13042
+,6312,8876
+,6991,11317
+,17699,18460
+,9438,1448
+,18923,2180
+,13640,17289
+,10520,11986
+,8010,15698
+,2525,6249
+,17448,5728
+,9027,11210
+,16241,19221
+,13218,14169
+,2458,1844
+,13041,3195
+,812,2831
+,19095,8583
+,9455,17780
+,4959,2348
+,2243,3406
+,18002,5108
+,13611,6754
+,6838,4079
-,643,0
+,6630,6350
+,139,11203
-,495,0
+,6057,7540
+,16276,2188
+,15914,6280
+,14187,18530
-,339,0
+,14554,15120
+,14555,18805
+,7339,2485
+,16700,1815
+,7286,2480
+,10253,10444
+,5393,14986
+,16613,10040
+,14873,14030
+,10387,4623
+,700,8602
+,12163,12243
+,1949,15693
+,9129,5917
+,580,15567
+,11350,13095
+,7818,18829
+,14416,13295
+,14007,10209
+,8889,9729
+,1965,5058
+,1514,4150
+,19385,12331
+,17019,287
+,11546,7143
-,948,0
+,4486,17849
+,19828,7162
+,12388,10797
+,2287,7079
+,133,19229
+,18058,8027
+,9106,18408
+,16224,9797
+,6782,1276
+,12907,5908
+,3905,16871
+,6774,19437
+,18271,13377
+,16049,8980
+,14422,15596
+,3561,4799
+,5706,12145
+,13181,12065
-,180,0
+,1024,8919
+,7846,13960
+,2464,6840
+,17561,13025
-,124,0
+,3284,13347
+,3718,18418
+,14782,6242
+,19991,8280
+,6745,624
+,9155,10022
+,8477,2329
+,16263,14381
+,18970,10548
+,13208,17664
+,9639,8186
+,18223,11000
+,581,17796
+,7006,7357
+,1043,17779
+,17515,1808
-,641,0
+,5280,1778
+,2203,14474
+,11247,6787
+,14025,5109
+,16312,13593
+,7844,9522
+,18515,14366
+,14347,3113
+,1574,1484
+,2051,11097
+,6096,2154
+,7149,1670
+,9546,10231
+,2291,12575
+,3131,1327
+,5674,19535
+,18059,11070
+,8482,8441
+,15485,17229
+,9661,2080
+,1568,13839
-,624,0
+,18574,3023
+,12344,8365
+,19422,18047
+,12513,14652
+,12818,13034
+,3258,4879
+,7956,4124
-,188,0
+,18947,12405
+,19301,9879
+,14984,4677
+,15935,6928
+,15335,10980
+,645,2007
+,5046,1339
+,10942,6669
+,1222,6211
+,9847,5392
+,85,6168
-,485,0
+,19475,19025
+,5936,9960
+,8353,19949
+,17388,3308
+,11625,8838
+,17826,8008
+,5041,5676
+,18981,9118
+,12801,17786
+,7156,10744
+,6142,19708
+,12035,15990
+,9497,5349
+,16845,12670
+,9660,18260
+,6809,10311
+,15128,2710
+,13885,8421
+,16533,608
+,19120,11210
+,1169,9087
+,17036,2789
+,12580,6737
+,8789,10091
+,19871,590
+,6827,9305
+,3015,3300
+,4328,10878
+,16335,13669
+,18939,5160
+,5116,16605
+,7223,6935
+,7521,9276
+,722,18228
+,2278,8600
+,13830,12248
-,368,0
+,15693,6483
+,6355,3632
+,2058,4515
+,18706,12517
+,1872,1770
+,9169,5245
+,9247,11486
+,19272,17147
+,6416,6182
+,16804,6756
+,17196,11243
+,87,11116
+,14935,4804
+,3041,4105
+,9344,8747
+,16696,14050
+,263,18403
+,19130,10634
+,1086,17707
+,19244,15774
+,5285,10036
+,3127,4806
+,9036,13089
+,16590,8981
+,11498,16438
+,3986,12038
+,8246,5268
+,2013,11432
+,17489,5101
+,16494,8237
+,3349,13626
+,12327,4819
+,4578,380
+,3611,3149
+,8166,16344
+,3163,3884
+,5486,11053
+,2585,1842
+,15894,1319
+,12941,6128
+,2412,12797
+,18077,2521
+,5740,4795
+,13780,1213
+,5384,15613
+,623,920
+,14764,6025
+,4605,35
+,15645,1446
+,1506,2835
+,5097,12230
+,16913,19652
+,15511,6812
+,245,4598
+,15804,6305
+,6647,90
+,11223,9357
+,6796,16214
+,1786,8256
+,499,7975
+,8885,10167
+,12015,11195
+,7805,1762
+,3650,104
+,13883,4498
+,18231,17823
+,2420,5621
+,13941,13285
+,11609,13979
-,673,0
+,8904,14789
+,16231,8821
+,7600,7145
+,10933,14429
-,681,0
+,11931,16813
+,15323,18672
+,5168,14647
+,613,12791
+,8840,14352
+,11185,17917
+,16523,6091
+,5724,7612
+,1667,2459
+,2298,3926
+,19473,11018
+,3100,3205
+,2723,3369
+,7529,14927
+,18480,5736
+,8927,11466
+,9532,12247
+,12983,10961
+,4026,6964
+,11997,18839
+,14812,13920
+,17241,9345
+,8338,16055
+,15909,46
+,12674,3842
+,10248,8778
+,9424,7524
+,7045,11398
+,13543,17469
+,13614,12428
+,866,10894
+,2470,5965
+,15549,6224
+,15427,14170
+,14752,8022
+,9767,12203
+,7878,14488
+,3217,15138
+,7826,897
+,19552,2925
+,10548,18351
-,55,0
+,3422,18689
+,3962,5071
+,10619,10646
+,11267,8175
+,14832,11034
+,11840,6246
+,5710,11978
+,511,3600
+,13901,19129
+,11513,13845
+,17827,2665
+,5157,16368
+,10752,15148
+,5918,13795
+,3000,8431
+,14119,1924
+,10428,18121
+,14737,2118
+,1245,8004
+,10830,254
+,3712,13444
+,18147,7768
+,8011,19848
+,14139,18544
+,4466,15569
+,7531,3061
+,3539,14478
+,6677,6948
+,7796,2487
+,13997,2588
+,17581,19367
+,13539,7945
+,5579,14778
+,15926,3351
+,14491,7806
+,5057,9832
+,8387,868
+,12924,13490
+,4346,15461
+,14004,16437
+,19432,2475
-,591,0
+,14176,1221
+,1465,19440
+,17728,682
+,1045,19861
+,13418,17253
+,17847,17987
+,12055,11572
+,6544,737
+,33,15872
+,18449,13084
+,8167,8710
+,19852,1144
+,1555,14610
+,12331,13562
-,941,0
+,14907,3505
+,1921,16188
+,10470,1904
+,7862,14448
+,12684,12390
+,4057,1929
+,4418,5124
+,2559,8322
+,15451,117
+,17760,19608
+,16442,1047
+,16699,9709
+,13494,16682
+,7692,10798
+,19686,2299
+,14023,14647
+,18901,475
+,5653,16212
+,5607,2383
+,10522,16534
-,771,0
+,2231,9857
+,19932,8497
+,15024,1740
+,15523,2300
+,4445,19239
+,13352,957
+,2512,11188
+,4943,1466
+,5574,718
+,6748,4708
+,7483,4934
+,19051,13064
+,4093,8187
+,3661,14968
+,2982,17211
+,10999,7799
+,4519,11263
+,14425,11017
+,8444,14057
+,3461,16565
+,10410,16793
+,17097,13834
+,15873,12311
+,1398,6954
+,6649,9371
+,5595,1824
+,16158,14292
+,7895,10415
+,14280,7793
+,13773,10934
+,1707,18453
+,18210,17642
+,11900,16202
+,17652,10699
+,3927,880
-,633,0
+,12106,5749
+,13990,2119
+,18755,2160
+,10741,8050
+,19440,10391
+,14506,18040
+,15259,10706
+,8914,14148
+,11853,14822
+,11823,13038
+,16501,18382
+,13071,2691
+,14466,11011
+,7459,8050
+,13999,5125
+,16127,9661
+,10640,7995
+,8624,19248
+,12134,11669
+,16960,17004
+,1131,4274
+,15835,8699
+,12699,562
+,4879,3828
+,15012,17164
-,959,0
+,18908,5772
+,15260,5345
+,4193,7484
+,2661,743
+,612,10807
+,1551,4570
+,5052,2633
+,10530,19728
+,19919,18436
+,3655,9188
+,2391,5465
+,278,3356
+,12208,10203
+,3430,8717
+,17696,10160
+,13275,15475
+,19436,4444
+,6263,11029
+,1134,18373
+,17286,652
+,15084,10170
+,5089,17572
+,13915,521
+,6675,15910
+,6681,9289
+,11202,15156
+,16306,14249
+,11430,8436
+,8859,7310
+,8942,19049
+,8136,12942
+,9730,9442
+,10239,12538
+,11098,7286
+,9930,3761
+,10254,11097
+,15574,12265
+,8867,10799
+,8796,4998
+,9980,12988
+,2680,9232
+,2709,1090
+,19494,9240
+,7146,8241
+,16608,8013
+,12864,1209
+,17596,5875
+,9399,14329
+,19853,16537
+,16992,5101
+,507,4503
+,18729,19455
+,8764,3474
+,16773,8964
+,19481,7506
+,2423,12208
+,16824,6719
-,886,0
+,9891,18192
+,7289,10708
+,5752,19709
+,10541,13916
+,6821,11058
+,10060,3661
+,18409,15638
+,6184,8157
+,10220,4341
+,2122,18118
+,9824,2794
+,1500,11763
+,10963,11647
+,17070,17937
+,6686,5326
+,19009,18579
+,15963,14937
+,18727,12602
-,250,0
+,9939,6601
+,5235,1421
+,11300,19770
+,10843,1179
+,9074,10325
+,19532,5062
+,8618,825
+,10622,15470
+,19105,3848
+,18368,9358
-,868,0
+,9550,582
+,19713,19210
+,5657,16121
+,13458,7078
+,10191,315
+,2729,502
+,18570,11110
-,825,0
+,3517,10036
+,8168,6837
+,5332,14295
+,3534,15308
+,8365,13795
+,2177,17314
+,12065,3262
+,17738,3773
+,13934,5239
+,6660,2497
+,18606,13212
+,1458,12305
+,2402,15407
+,7885,6886
+,8148,16818
+,14407,6730
+,1755,173
+,7767,5817
+,17698,16763
+,2111,17992
+,16519,11592
+,6597,13719
+,5134,17400
+,15626,3407
+,19796,595
+,17519,6572
+,8991,624
+,14894,12271
+,10841,18635
+,8061,14705
+,2972,16972
+,6501,7707
+,12358,19422
-,121,0
+,12239,18806
+,6479,11935
+,3953,4073
+,3995,2504
+,1520,11518
+,8568,2295
+,4029,3510
+,10390,11386
+,14000,3181
+,1814,19722
+,14452,8423
+,1524,13398
+,11493,507
+,3669,2898
+,6249,14228
+,19053,12401
+,15240,9983
+,311,14696
+,19238,14841
+,19164,7957
+,13082,2282
+,8446,8090
+,12054,10366
+,8075,12325
+,4643,15637
+,9557,7956
+,19682,5783
+,16945,12455
+,19285,4598
+,4607,14750
+,10998,10614
+,4012,12397
+,10133,188
+,7739,9412
+,6293,14317
+,18493,12292
+,16731,18740
+,10037,14998
+,2504,12874
+,12706,1822
+,823,18842
+,2025,1253
-,722,0
+,17361,12364
+,17034,2311
+,672,4913
+,12652,12384
+,11481,7595
+,16522,1667
+,18162,19587
+,6154,828
+,17942,3141
+,12769,14661
+,4661,11982
+,2451,8116
+,11993,14137
+,12893,18464
+,16375,8629
+,707,11379
+,15140,9653
+,15593,7591
+,15353,9510
+,829,343
+,8543,9530
+,15348,3625
+,804,2608
+,9200,13231
+,5596,18616
+,2691,4759
+,2328,9776
+,16930,6927
+,6268,4094
+,9965,10544
+,15228,18993
+,1360,13817
+,4787,13569
+,6723,5035
+,3616,16956
+,15055,13665
+,433,16819
+,15798,1356
+,1405,15326
+,1875,15354
+,10297,9117
+,5364,6424
+,6800,2089
+,14388,17516
+,11475,11508
+,12730,13396
+,18172,15307
+,9484,10849
+,4675,2912
+,13270,15032
+,15924,18493
+,6104,15192
+,5890,8470
+,4375,15913
+,4950,11043
+,10802,17362
+,13981,3426
+,11391,7880
+,18886,5207
+,8709,3290
+,18482,14492
-,770,0
+,5568,2614
+,7170,5532
+,15035,4578
+,6205,6732
+,17470,14360
+,578,15185
+,8566,84
+,1889,8244
+,1048,18148
+,13347,16557
+,19522,12618
+,9099,9208
-,420,0
+,9409,3915
+,12216,8763
-,459,0
+,6084,5213
+,12632,18432
+,5048,13995
+,12123,5467
+,16157,17923
+,11505,14460
+,16946,8306
+,6730,4295
+,19902,15808
+,6470,14439
+,16190,954
+,3417,19005
+,2736,18343
+,8019,500
+,801,2965
+,5764,9238
+,8848,6003
+,16139,258
+,4489,16213
+,14465,5408
+,2161,9570
+,16466,8964
+,6372,11332
+,9656,6223
+,19671,435
+,12943,13040
+,7061,10958
+,18870,1363
+,8434,13986
+,8874,4031
+,2718,9868
+,4600,16108
+,11356,7723
+,8638,2699
+,9511,19614
+,2947,2665
+,1028,7705
+,10967,5679
+,3975,13906
+,1510,11471
-,728,0
+,7409,19219
+,6750,1621
+,8974,18660
+,7863,7601
+,6420,5687
+,2842,10305
+,17920,2388
+,852,4190
+,16914,2648
+,9671,15738
+,9896,12183
+,712,19190
+,3830,5165
+,13582,7117
+,1200,4892
+,4504,16428
+,17303,2055
+,8673,6900
+,1886,1937
+,15761,7063
+,19425,14412
+,13050,9236
+,16666,7974
+,4011,7964
+,5396,4079
+,779,18667
+,15171,18167
+,5928,803
+,4668,19808
+,3694,15756
+,11732,9598
+,7428,8982
+,16873,780
+,16192,15603
+,6431,8027
+,6810,8233
-,739,0
+,9810,5048
+,10848,19243
+,5666,13611
+,4425,8258
+,7951,17365
+,14141,17417
+,8625,11786
-,659,0
+,2480,16117
+,1049,15143
+,13011,11252
+,13246,14578
+,11914,8993
+,18393,3480
+,9274,11635
+,7126,61
+,10993,9526
+,3260,4580
+,9878,11097
+,11232,17568
+,4211,5942
+,575,11211
+,2911,8022
+,11827,3785
+,14524,17658
+,6811,11840
+,10934,6824
+,1629,5585
+,19587,18448
+,10365,1054
+,17099,19703
+,19151,8290
+,8120,484
+,1272,12170
+,6499,10333
+,842,13189
+,2935,3947
-,173,0
+,19163,14486
+,3861,5498
+,5563,4211
+,9174,12329
+,16781,4318
+,8922,14657
+,13709,1595
+,16557,114
+,2855,3440
+,7232,13792
+,12729,12096
+,1602,15519
+,16540,19142
+,16782,3670
+,17568,10327
+,6844,10670
+,1931,19154
+,17977,8105
+,7081,7457
+,6322,14356
+,19540,12277
+,19135,11492
+,14370,13132
+,3882,18066
+,13531,17687
+,19835,3762
-,601,0
+,7633,15154
+,226,4923
+,4891,19855
+,19433,5681
+,18370,343
+,12929,8843
+,12820,10621
+,18263,268
+,1621,5064
+,16271,651
+,13197,17525
+,7708,11804
+,5437,4306
+,14951,4686
+,1907,329
+,16950,9802
+,15707,18746
+,6634,16853
+,10904,6055
+,19409,5118
+,4367,4023
+,18818,9603
+,9313,8055
+,15097,7796
+,10475,2517
-,614,0
+,16899,15585
+,6853,2686
+,18601,18562
+,19968,15152
+,8227,1339
+,16918,17271
+,713,12126
+,9962,8106
+,1389,16693
+,13665,16329
+,2181,17344
+,2677,570
+,3468,3344
+,17916,14964
+,16186,13919
+,13020,1275
+,12971,6135
+,13563,3655
+,5763,8506
+,15466,11586
+,14713,17597
+,6974,11001
+,5799,4732
+,16725,16228
+,7565,9550
+,13848,1336
+,11502,1660
+,5468,11098
+,4563,1453
+,1196,11956
+,12538,16242
-,519,0
+,189,17052
+,5686,12724
+,9176,8402
+,13302,17624
+,17948,17476
+,2516,13368
+,9733,758
+,17387,7104
+,15921,5429
+,4298,3996
+,15118,2290
+,11834,10396
+,2916,16819
+,2425,18367
+,5093,17039
-,428,0
+,19886,1257
+,9769,13188
+,9677,2722
+,2581,17372
+,10419,19151
+,9798,11188
+,8870,17590
+,11794,6177
+,15984,9563
+,1746,9202
+,7007,2892
+,7912,4102
-,100,0
+,2965,11792
+,17666,1395
+,8068,8994
+,16693,13188
+,3920,6484
+,12512,11554
+,11466,19949
+,18952,16779
+,151,9367
+,18890,15896
+,8824,5601
+,15760,15545
+,11526,7961
+,10211,5592
+,13918,15215
-,627,0
+,4443,16291
+,16786,14175
+,2587,3468
+,14692,3129
+,10305,12005
+,11692,6217
+,11797,18725
+,16735,6417
+,5757,14823
+,12041,12406
+,15361,11313
+,10948,10921
-,546,0
+,4524,15075
+,7150,2405
+,4122,10470
+,19373,9784
+,7002,11581
+,1730,1538
+,16240,1395
+,18900,9520
+,1923,1205
+,6864,2641
+,6428,12341
+,6452,5056
+,6882,5312
+,9931,8238
+,16551,3860
+,14543,1639
+,6603,13959
+,2509,532
+,4912,15744
+,13601,15655
+,13583,3650
+,12584,10251
+,18158,8068
+,5822,17668
+,13431,6978
+,7359,799
+,2574,19583
+,7817,9296
+,13888,17876
+,19868,1403
+,860,988
+,18902,7460
+,16166,1393
-,14,0
+,2654,11315
+,1908,7939
+,17498,4669
+,2252,5469
+,17650,805
+,7851,304
+,12918,10416
+,19444,1226
+,19582,4542
+,11828,11528
+,6476,8336
+,15041,12941
+,7387,9475
+,14315,12196
+,2100,436
-,518,0
+,8319,13910
+,6751,7604
+,6492,18528
+,1751,2314
+,15885,159
+,14066,2399
+,12909,4334
-,509,0
+,10054,13512
+,4354,10439
+,4108,10690
+,7786,504
+,5894,678
+,19404,1275
+,12955,18528
+,5499,14144
+,18041,5816
+,14691,19956
+,11210,18204
-,214,0
+,14009,1062
+,2963,17557
+,16719,18000
+,2703,3025
+,16236,14451
+,8321,10086
+,14224,2762
+,7085,9060
+,19812,18966
+,9365,18210
+,2572,18678
+,4235,4920
+,7950,9039
+,2174,6040
+,3231,18703
+,4726,10025
+,17787,2429
+,9584,6212
+,2235,4373
+,13751,17848
+,10412,3904
