OP,A1,A2,A3 
+,11186,14873,7351
+,15408,5236,9125
+,3976,7445,765
+,17383,10552,16856
+,15318,12076,591
+,13140,580,10525
+,5562,317,5457
+,19466,3058,6608
+,10900,17836,17462
+,12754,5514,18133
+,846,9188,837
+,2299,3282,19337
+,13032,5545,13202
+,1133,388,9841
+,17670,16561,10892
+,3563,15602,16255
+,9339,9222,9779
+,7502,17689,3578
+,7706,8120,4974
+,6401,18996,3277
+,18484,17784,10302
+,7889,10427,4177
+,17856,15813,16498
+,5201,2114,8826
+,3798,4746,19647
+,14046,4488,15466
+,8024,12333,4258
+,7924,6951,11247
+,11303,3738,3196
+,19833,11567,10160
+,13601,6371,15790
+,2085,11631,14721
+,14468,8696,10976
+,18229,10569,17650
+,5431,1854,9707
+,6227,7165,10677
+,1742,1847,4299
+,15352,14806,10180
+,102,4857,2850
+,12999,823,17539
+,18267,14203,9390
+,6666,19553,19066
+,5732,6637,102
-,798,0,0
+,14030,19404,4688
+,18536,18480,1810
+,8565,6488,13134
+,3501,7020,8897
+,4221,9413,16686
+,4381,10856,5930
+,11572,4422,15218
+,8843,3008,12555
+,15740,19111,14284
+,14760,18140,5080
+,16738,15865,9572
+,8254,9136,15744
+,3247,18127,6584
+,6447,3359,5679
+,12773,13181,3285
+,5114,1952,2635
+,15912,11680,9872
+,8868,11496,1258
-,278,0,0
+,11343,17145,13820
+,9940,11162,15904
+,15287,9889,4877
+,16091,9364,19176
+,6501,16299,185
+,19851,19651,2151
+,4632,12596,16930
+,17708,967,248
+,6776,11521,9567
+,16607,5056,16760
+,6869,9304,11118
+,14863,18639,5001
+,16558,14844,6704
+,12958,15750,5387
+,8580,14549,9503
+,2610,15329,4569
+,2498,14461,16071
-,158,0,0
+,6002,12946,4145
+,16535,5058,5455
+,4572,4562,18152
+,8124,13232,15772
+,9746,4625,2963
+,11626,14741,6781
+,17320,19893,13155
+,7562,166,5441
+,19527,1224,18167
+,1894,11952,13779
+,1606,12210,9627
+,15363,13875,12929
+,15923,14912,1546
+,19052,18045,15840
+,15765,13531,12577
+,4255,18780,3499
+,16148,7452,14351
+,1880,15517,18369
+,15354,8802,11852
+,9622,3598,7603
+,8222,90,1803
+,13866,99,8553
-,381,0,0
-,498,0,0
+,11482,3192,4173
+,19582,12575,19486
+,3679,12190,5774
+,4328,378,1225
+,19039,13350,5508
+,2107,6814,16116
+,18649,8043,10165
+,16047,10810,13484
+,10857,10678,8644
+,4115,4794,13234
+,4921,18154,4033
+,5828,5325,14083
+,2683,15896,10398
+,8295,4499,15553
+,11618,15500,14714
+,14809,394,8853
+,14067,1323,3286
+,6070,66,17279
+,6402,7578,5273
+,15745,9124,4047
+,16446,13995,2511
+,13269,504,850
+,6944,820,5304
+,12806,9861,7329
+,13056,16438,7970
+,16146,9968,7888
+,7485,11050,15221
-,37,0,0
+,9831,5608,6830
+,9041,13485,11006
+,15183,6932,19116
+,17985,15726,1463
+,19993,7868,11600
+,7546,8844,15771
+,15780,1396,14869
+,2647,14463,10539
+,18725,15628,18004
+,5414,2388,12563
+,17174,9542,7026
+,16987,2141,13225
+,8524,19819,5731
+,7619,4082,3822
+,9603,10819,18174
+,19385,19618,458
+,2952,1012,18906
+,7280,10799,6282
+,15788,12332,6696
+,9486,13657,8322
+,1050,126,6961
+,14476,17924,2780
+,1898,2340,4211
+,6064,1657,6868
+,6138,15785,14164
+,2631,19446,9967
+,11113,9399,18240
+,11270,5674,11426
+,9315,9753,5079
+,5956,8758,13396
+,11613,10204,16584
+,15407,7533,6385
+,8454,11016,16649
+,1945,3563,259
+,16055,8181,5755
+,13383,4605,18791
+,2745,9034,2760
+,19674,9049,18268
+,13854,9648,2633
+,4240,7871,16503
+,2422,10194,4349
+,19923,15448,7414
+,18316,6646,8422
+,7329,18485,12774
+,2258,5617,8663
+,15067,10151,8594
+,5517,13944,12942
+,3892,1324,13885
+,1816,13842,5606
+,232,3708,10337
+,167,9110,2285
+,18779,8371,11251
+,4082,13504,8683
+,16648,13252,35
+,8608,1011,3925
+,8744,4290,12145
+,12318,13123,1032
+,13042,8075,14244
-,270,0,0
+,15651,6983,115
+,1208,14703,13888
+,5336,8778,10567
+,6322,6261,15543
+,14723,9502,1777
+,12326,19621,4448
+,18445,2813,13344
+,14151,3165,8019
+,16023,934,11707
+,11198,6794,12398
+,15548,876,120
+,4749,48,19958
+,14047,2898,10352
+,7757,16696,3252
+,5237,12881,16044
+,202,5787,2530
+,7147,17413,14227
+,7737,17486,9882
+,11915,2375,9740
+,7032,16484,2840
+,19327,7384,14264
+,15964,1551,2856
+,18939,4732,2974
+,9719,18195,18663
+,7599,483,7902
+,1070,4552,10134
+,10550,5295,3736
+,7676,13022,18432
+,10996,2276,6588
-,798,0,0
+,12566,4421,18357
+,12180,3094,12603
+,4097,14367,8688
+,1600,19450,7087
+,8461,12786,17902
+,155,933,17347
+,6128,2133,3447
+,5449,4043,12767
+,10045,18825,6440
+,16150,19611,14953
+,18675,17448,11739
+,5704,16009,11800
+,12043,7600,12711
+,5396,18357,19830
+,12212,4683,2786
+,3902,14249,16405
+,17209,14066,12860
+,2612,15751,18428
+,12432,11590,9785
+,5454,6701,16180
+,16654,17688,5029
+,9946,2688,4058
+,19401,8701,3611
+,12044,10368,67
+,300,5901,9124
+,14073,9186,1035
+,13769,4438,9256
+,2841,9008,19556
+,11728,17748,12980
+,1433,2841,10506
+,8615,12146,11764
+,19041,9074,8228
+,16610,17980,14136
+,2203,9659,5411
+,3574,9150,8041
+,5432,6110,9233
+,12658,17951,7249
+,3795,18070,10218
+,5936,11453,14654
+,7202,19276,17121
+,13199,1113,19092
+,109,1122,11973
+,11371,10321,10262
+,11243,11373,15777
+,15919,17800,15714
+,6933,13169,6211
+,19777,9684,7425
+,7804,14715,694
+,5827,15341,11842
+,12636,7572,1331
+,11657,8318,13145
+,3841,526,10207
+,4777,18629,19355
+,2827,9570,2653
+,10959,10384,5243
+,5773,13011,19278
+,16259,1002,15901
+,18153,19823,15376
+,10151,18651,16891
+,10714,13023,19031
+,13317,14124,14999
+,8680,18874,9017
+,2848,17412,16301
+,9133,8031,1209
+,1086,2015,8046
+,6069,3591,8482
+,4999,988,2068
+,19326,14850,18467
+,19688,1057,9541
+,3277,221,3809
+,4902,4832,14929
+,2460,11377,4680
+,18441,10198,5795
+,10143,11040,19416
+,16684,8857,19139
+,11751,19274,14651
+,578,4317,19585
+,11616,14727,13400
+,577,4066,1563
+,9576,5949,8157
+,4651,13863,19769
+,1912,2583,19318
+,5139,19724,17300
+,19920,7040,10053
-,78,0,0
+,2931,14116,19270
+,2338,13889,1712
+,7898,12643,2120
+,11409,10270,6262
-,788,0,0
+,14802,14518,11359
+,11032,7231,8321
+,18184,8816,12458
-,98,0,0
+,7903,14003,8577
+,14679,18572,8895
+,5272,13608,3407
+,18618,11663,197
+,13411,5637,11292
+,15786,4400,1678
+,17903,12055,12468
+,13378,7013,2827
+,3570,4689,14363
+,3234,14424,12738
+,2251,8166,8462
+,16602,1628,4706
+,13051,7544,14503
+,3936,17901,11957
+,4990,3899,12266
+,14386,8268,18668
+,1406,6839,11450
+,9590,2765,13772
+,15495,105,2230
+,18195,14033,16867
+,12775,9234,14954
+,18170,11596,15857
+,8528,11999,13381
+,1111,2511,9854
+,3555,13068,1756
-,773,0,0
+,12093,19603,10680
+,3905,1543,1816
+,4559,11286,1318
+,3819,5379,4068
+,9210,5628,18259
+,524,19680,12084
+,9124,16582,8687
+,2859,11402,4725
+,17259,19209,4807
+,194,18169,14363
+,9402,1243,6280
+,11149,11998,18020
+,8821,4948,2674
+,19375,11022,16051
+,13672,4672,19524
+,1995,15122,14180
+,1511,19864,16871
+,12107,17126,7566
+,13504,1775,1971
+,15987,6168,17031
+,3688,7483,1058
+,2814,18385,17928
+,10364,9975,14923
+,7835,11552,6797
+,13750,11675,1986
+,1878,1004,10294
+,11091,8025,678
+,280,5196,4401
+,10333,10645,7180
+,5281,14137,4647
+,17867,10187,15602
+,1957,11952,15019
+,9575,19206,15652
+,17245,14022,11016
+,12076,6593,12830
+,10630,1190,17975
+,461,17246,17127
+,4417,1866,4164
+,230,17387,16273
+,2385,15425,17073
+,4813,18517,3987
+,10132,6249,11646
+,12083,16963,15182
+,5511,13428,5936
+,7965,13106,8252
+,9351,16384,18013
+,19555,9888,6377
+,4698,13962,12278
+,1594,10762,1376
+,18890,8634,9168
+,6283,12529,16715
+,2254,15458,1000
+,17206,245,12149
+,3354,208,15280
+,15504,11223,3849
+,9802,14444,2725
+,13628,5221,19628
+,16069,3030,13514
+,134,12621,12638
+,12070,6798,2340
+,8825,12896,10344
+,6255,15394,7195
+,9903,11271,1442
+,13734,17079,4310
+,11934,8940,6886
+,8436,8651,12209
+,2452,16727,15088
+,17616,13633,9322
+,19959,18776,3929
+,7214,7186,15488
+,4664,5842,12859
+,13992,16550,2878
+,2192,6774,7426
+,3981,16388,17136
+,10374,7743,488
+,9567,6060,18213
+,7279,4708,7954
+,11792,4196,348
+,16853,1856,13174
+,8520,11311,10145
+,9962,14048,1513
+,1653,12335,5093
+,9221,15438,16113
+,9762,11845,14033
+,10578,12440,4165
+,1313,1040,19900
+,14156,13755,664
+,3064,10556,9823
+,6959,855,17795
+,8140,15422,6043
+,15802,14793,16988
+,16234,3121,1682
+,12974,6574,11207
+,2494,13218,11118
+,10413,8060,19489
+,14292,11114,17286
+,4611,14039,15848
+,9887,14387,12970
-,931,0,0
+,14427,15815,939
+,15809,179,12720
+,2961,3005,16382
+,19402,2095,67
+,490,17516,762
-,610,0,0
+,18892,11765,8099
+,12002,15800,9319
+,5848,11939,19932
+,6637,15278,1667
+,12855,10195,9322
-,679,0,0
+,8376,11143,14352
+,7985,1887,18696
+,10238,17187,9384
+,2735,4427,10574
+,7303,4268,6263
+,7607,14591,11699
+,1039,36,12060
+,16298,6226,17033
+,19347,4002,15894
+,13591,9088,2992
+,15164,7249,6392
+,16282,16964,19726
+,19128,7622,12166
+,10068,15652,192
+,17653,12348,8862
+,6997,5631,19588
+,6718,16993,13461
+,15626,8399,19132
+,6679,7327,19121
+,13776,5442,14589
+,2988,5876,16955
+,19324,1863,15344
+,987,900,11004
+,6494,341,16916
+,3614,7,2031
+,6670,1401,14781
+,9945,9277,7802
+,6964,18113,7644
+,4054,5881,15007
+,10514,1282,12273
+,10790,14335,11472
+,3708,8121,4601
-,539,0,0
+,12741,16457,15345
+,7235,7164,8205
+,1919,13225,18369
+,14382,12297,2947
+,17931,2309,34
+,6812,17810,755
+,18586,3266,2126
+,211,13435,15019
+,7742,5366,8170
+,13477,9980,19003
+,19808,8290,1151
+,1664,678,8472
+,3820,631,4337
+,1155,18247,540
+,11345,12847,9018
+,5835,15194,11020
+,14879,7055,12319
+,15997,9789,608
+,8918,11896,17757
+,6346,16834,8543
+,12697,6945,5554
+,10095,682,13044
+,5992,19134,11033
+,12097,12954,8169
+,10914,15641,19352
+,5480,689,19765
+,8072,13864,10876
+,10163,15831,4633
+,3525,4555,6403
+,13209,6521,18733
+,9298,12390,16863
+,14021,2967,612
+,2852,16287,13715
+,4012,15210,14162
+,5885,15916,19770
+,12127,11522,4321
+,14049,18609,19260
+,11068,6871,14307
+,4121,2687,10483
+,1907,7802,10844
+,17624,6388,13597
+,16120,8699,13126
+,16041,19178,6778
+,17011,18660,3456
+,12615,17998,14326
+,43,8537,16480
+,3642,2703,16644
+,11299,2712,4764
+,11688,19204,6228
+,16985,6713,16235
-,790,0,0
+,18318,8045,17414
+,11769,2999,5809
+,12309,18205,12911
+,13978,2392,12934
+,3396,14553,10362
+,14822,13082,7569
+,4948,10717,9692
+,16384,2661,18097
+,12423,4597,2126
+,19876,5044,7076
+,209,6091,14114
+,3120,19552,5100
+,8901,9571,19562
+,6890,4461,10387
+,13677,11229,18956
+,8818,7512,19352
+,11226,2173,5494
+,9420,19575,2413
+,2742,14807,5494
+,3988,666,8086
+,2744,7096,14313
+,16997,12532,13146
+,15532,5555,19440
+,11048,16669,17688
+,3418,10510,3403
+,3656,15046,9925
+,14461,18674,14850
+,11768,11929,4609
+,12726,19652,8310
-,826,0,0
+,3818,8468,13215
+,5004,14853,5010
+,17001,5389,1608
+,17170,1739,16776
+,9550,4812,18862
+,12892,5412,933
+,4890,9511,4020
+,4390,17943,11327
+,4735,11152,3274
+,3174,13039,15669
+,7484,3336,8548
+,17448,1878,3271
+,15607,8859,467
+,2135,1132,9015
+,11444,6650,6816
-,523,0,0
+,3230,13470,6142
-,710,0,0
+,12001,10671,8319
+,470,6088,6493
-,889,0,0
+,18313,16683,15889
+,1289,17698,8695
+,1263,14940,923
+,3480,11586,19664
+,5245,16046,17827
-,840,0,0
+,4175,4414,4722
+,12361,985,2178
+,5941,3031,6210
+,11229,8393,9524
+,12572,2838,16126
+,3638,7867,7437
+,19122,1765,10455
-,839,0,0
+,9593,5335,8748
+,83,9123,6816
+,8002,18767,18750
+,3386,4645,6769
+,2267,12886,13725
+,18973,809,15109
+,8923,10826,1780
+,7394,19998,13338
+,6181,14991,2208
+,16349,84,5189
+,1996,12349,11875
+,6304,16101,10428
+,12926,15076,1760
+,5119,886,4159
+,12449,16767,16182
+,3653,18343,2669
+,19110,2963,4992
+,3700,9057,2335
+,5766,15587,702
+,5058,6310,5715
+,2940,5648,12973
+,7221,9292,12192
+,5964,17080,5999
+,4785,8028,18764
+,11717,9078,4137
+,15274,6473,17397
+,18390,687,6961
+,13699,9609,3115
+,5523,13333,15158
+,2692,13857,974
+,10816,2783,4072
+,869,17302,19192
+,18593,8411,9430
+,10537,14487,13263
+,2021,306,11210
+,11203,11786,17888
+,10522,13054,6745
+,4661,2470,10779
-,769,0,0
+,635,13744,13614
-,892,0,0
+,3472,19621,10763
+,3338,13042,1104
+,7727,2350,5582
-,336,0,0
+,11057,399,15799
+,13689,6935,4376
+,18636,753,19872
+,3366,12925,17359
+,15394,11916,6498
+,6258,18260,13305
+,9,17722,147
+,15784,11392,2041
+,2754,14093,17827
+,1633,12499,11458
+,1482,3099,11516
+,2495,9973,15445
+,2401,17944,13082
+,2758,13571,13614
+,17491,13232,2686
+,2741,27,4449
+,17109,16009,5793
+,4415,18346,9686
+,2070,5452,14732
+,10853,18568,18466
+,18998,3174,16051
+,16592,15292,10367
+,3443,4858,13595
+,6018,2931,13856
+,3489,12242,15736
+,352,18986,1900
+,7750,14772,7574
+,4736,13043,7553
+,13838,11133,17005
+,15529,4988,902
+,17676,4751,17965
+,11788,2332,7895
+,11563,13276,14667
+,10242,16903,14170
+,8953,11732,897
+,15058,7797,19442
+,609,11739,13273
+,13942,14601,14510
+,13744,1707,11060
+,13175,14680,19514
+,15128,19390,1833
+,26,1809,4756
+,8366,3793,9711
+,7225,14697,7854
+,18426,5267,3598
+,18238,3646,18711
+,6962,3051,10434
+,4954,4471,7647
-,683,0,0
+,6493,16017,6508
+,8136,14630,16170
+,2226,662,11695
+,12767,11903,15756
+,17680,15804,18718
+,15981,11115,10043
+,14714,14659,15663
+,10801,1528,18804
+,7258,14672,7866
+,9501,16836,17230
+,12181,7896,12354
+,14960,7152,5421
+,18210,7696,14608
+,2684,19873,4432
+,4424,19155,18887
+,8912,1448,2053
+,19034,15884,10034
+,5789,17683,19426
+,9908,14801,18828
+,1692,12789,11878
+,11411,8523,11223
+,5507,14007,11179
+,13912,8127,4365
+,14521,15898,10074
+,8186,9700,8499
+,8016,7859,15388
+,8219,12593,13880
+,13302,4502,15390
+,18960,14012,19655
+,12313,16044,13911
+,6821,14019,9378
+,7273,2873,1496
+,17246,15428,8314
+,9676,10083,15124
+,4091,9922,11190
+,6657,10201,4153
+,1003,16598,9840
+,19185,9381,12883
+,12265,18671,16287
+,14242,6025,14138
+,9328,19791,8062
+,6117,8552,1905
+,12084,6620,15144
+,17112,7812,19017
+,5794,10349,12379
-,719,0,0
+,12301,9780,1447
+,12264,1480,4897
+,8149,9942,5582
+,6190,15943,3829
+,7003,12360,10498
+,5613,7401,14212
+,11174,15674,8711
+,739,3133,13524
+,2525,14599,7213
+,8805,9808,1575
+,15796,16346,18972
-,401,0,0
+,9181,11143,11681
+,6551,3696,3409
+,17905,14562,8712
+,8410,16863,4866
+,11403,2899,19078
+,13462,9980,9379
+,1139,6379,2248
+,11883,18346,13208
+,4775,9312,3426
+,19683,4624,2316
+,7362,4945,2792
+,77,15224,15324
+,16924,14726,19220
+,664,3419,18324
+,14971,7105,18469
+,3549,16662,19547
+,8514,19609,17042
+,18095,562,7873
+,15645,1107,2132
+,5759,13414,2804
+,4917,11121,18746
+,15201,10848,18411
+,13082,18593,16355
+,19487,4466,4136
+,18204,12930,15833
+,1044,17189,4796
+,3022,15363,19838
+,13502,18696,17430
+,1788,18213,5632
+,12131,1525,14081
+,16712,16451,16563
+,3146,8940,5692
-,107,0,0
+,10015,9552,723
+,16875,5781,19743
+,8091,7480,7340
+,15156,19722,17855
+,7372,10055,6283
+,9455,19348,2160
+,2448,4771,2665
+,10461,6682,9407
+,3854,4040,11101
+,2908,9193,2433
+,10119,14418,2559
+,17948,11406,2004
+,17707,1053,13742
+,6579,1317,5801
+,2321,1051,5620
+,18863,10521,2470
+,12866,5392,1323
+,13939,3019,8740
+,101,3900,19274
-,616,0,0
+,5861,2914,10391
-,897,0,0
+,12983,956,2877
+,6127,15693,10386
+,4794,6520,15185
+,18126,14443,14481
+,6111,10138,18051
+,315,6944,8321
+,17165,4609,17261
+,10856,16660,17995
+,12105,7199,18489
+,17067,6012,12230
+,14522,11602,7074
-,878,0,0
+,1302,8928,18811
+,16731,14968,995
+,19733,7877,17944
+,18325,8562,18396
+,1697,1840,6872
+,14915,11263,2466
+,159,393,12142
+,15523,12245,18844
+,8074,1791,9674
+,14487,2433,14377
+,5846,16718,19590
-,12,0,0
+,10228,10754,9332
+,14893,15721,7980
+,9054,8792,6929
+,14247,6981,12866
+,17113,18381,1904
+,12744,735,15089
+,1110,12285,7569
+,19190,17738,18563
+,9300,11264,17819
+,7269,12073,4200
+,1193,9250,1914
+,4668,19657,15644
+,16114,6101,10571
+,3280,19642,17128
+,1154,17831,10673
+,15777,11405,18433
+,15009,4427,15120
+,11969,12273,5410
+,9271,8749,16981
+,4779,3102,4802
+,5756,17035,15024
+,7817,8864,3099
+,11043,7643,12189
+,10483,5748,7143
+,1247,12556,1586
+,17564,864,930
+,17726,7306,1808
+,12608,3654,14085
+,18118,11339,19031
+,10262,11817,14815
+,9753,16823,1818
+,9878,12733,11105
+,10706,11729,5822
+,14099,3001,2831
+,7301,15768,1428
+,10688,4322,1197
+,11514,16901,9131
+,8076,2617,8653
+,6486,5405,589
+,7983,3075,15027
+,5006,8271,18442
+,15602,19763,2220
+,7063,13809,3130
+,9742,10571,4263
+,2786,8780,16613
+,1042,4558,11360
+,713,8503,16840
+,15726,8031,14661
+,17963,15430,3145
+,10252,10242,11384
+,11088,19813,9675
+,15285,16860,515
+,13895,19148,12379
+,16524,9955,12044
+,12934,12178,3748
+,2189,3575,4056
+,6871,9753,17974
-,579,0,0
+,16820,15602,6635
+,7495,16899,14835
+,7024,3454,19068
+,15072,6998,11758
+,12899,19439,16152
+,17175,10729,8928
-,186,0,0
+,10000,18665,9402
+,50,16636,1072
+,18247,12069,17465
+,1207,6479,1231
+,17899,11757,8481
+,500,8564,12939
+,18529,8505,15865
+,13055,7507,11001
+,6126,15183,4713
+,3290,16522,2677
+,5489,9250,19148
+,17404,15930,17871
+,17353,18741,11005
+,2658,12226,19874
+,962,2361,8213
+,7111,8466,8096
+,12633,11810,18179
+,3719,1208,9953
+,10258,15432,9570
+,4942,6682,6594
+,16624,13067,886
-,301,0,0
+,6577,6504,1173
+,18446,18621,11453
+,7575,17632,2299
+,107,3771,10230
+,3833,10367,8565
+,12437,13239,11833
+,7545,2428,13143
+,14599,6316,16822
+,4660,4062,3568
+,8989,11890,11354
+,10596,8031,19230
+,16266,4515,13894
+,3942,5724,10351
+,13886,2189,7488
+,19322,1203,13544
+,16245,3570,10053
+,8243,9350,16524
+,283,6701,6704
+,10042,4788,6965
+,17694,8930,1496
+,1142,1524,15064
+,146,11354,15846
+,1891,1359,19695
-,759,0,0
+,5966,16723,14787
+,605,6912,11189
+,8122,2127,2269
+,11673,14135,9531
+,4385,3277,8923
+,3426,12394,15969
-,893,0,0
+,13795,13165,17900
+,4094,14245,13523
+,13837,7839,8927
+,7207,11723,5271
+,18948,18084,5641
-,165,0,0
+,19867,14173,5801
+,1707,16285,6126
+,1113,18909,12163
+,7190,14939,4240
+,2243,340,5294
+,17966,9207,19975
+,10326,18408,11746
+,6786,17242,6504
+,6611,130,2293
+,19494,14283,6873
+,9883,11228,8296
+,5659,17554,16153
+,10697,829,1202
+,9605,11288,11060
+,18612,12986,9600
+,716,16259,15151
+,17967,3055,18892
+,19883,19343,10091
+,15366,11334,4057
+,13914,10575,14603
+,3788,13132,10301
+,666,5027,15600
+,2103,9649,809
-,694,0,0
+,6699,19852,7995
+,14,11866,18432
+,771,6018,8278
+,5280,16285,14846
-,544,0,0
+,6414,1861,2381
+,18806,9327,15380
+,2095,11845,16847
+,397,5271,12701
+,125,11620,9683
+,15927,16536,790
+,17712,1601,10736
+,13793,18177,6732
+,17545,7615,12452
+,17880,14214,19458
+,12639,16487,8997
+,5591,7075,17050
+,4327,694,17003
-,740,0,0
+,13332,5912,18354
+,12053,10779,3382
+,19698,19203,10347
+,412,19871,17898
+,8344,1069,1422
+,8196,6952,8450
+,17747,5283,12135
+,18477,9839,1391
+,47,7729,11531
+,13523,1102,7210
-,570,0,0
+,14901,17596,8144
+,11446,4519,6632
+,4477,18649,1795
+,7013,18731,16966
-,399,0,0
+,1827,2797,12717
+,6922,5220,1378
+,15895,5350,7623
-,992,0,0
+,11499,16670,1501
+,6956,234,13218
+,3492,4688,9798
+,12630,4674,17793
+,18361,13581,3217
+,1227,4995,16382
+,16050,673,19604
+,2014,15608,6194
+,8564,13126,9385
+,1119,15147,4931
+,2547,17886,16549
+,1504,9101,14688
+,16641,8841,4909
+,5433,487,17362
+,12185,9203,13090
+,13712,10352,9232
+,3044,12199,411
+,8133,18550,2568
+,18490,6820,12167
+,18530,8126,10925
+,15474,16457,15082
+,13230,730,9347
+,11064,10544,5895
+,15218,7882,1504
+,1430,12709,6968
+,15512,11993,13427
+,8909,11378,19971
+,6107,13436,3159
+,3231,8681,6928
+,4451,8039,4128
+,17837,1478,17368
+,9354,16436,18283
+,2212,1650,17415
+,8567,2245,14005
+,16158,15607,3567
+,2905,5683,17198
+,16457,2766,11998
+,9956,5212,9561
+,9835,2605,13669
+,3876,19395,3217
+,8518,10945,16467
+,8027,16622,2288
+,6256,19483,15352
+,3352,10376,11346
+,1204,3125,18601
+,1420,7936,4604
+,19766,12379,17979
+,14950,14729,7272
+,6911,14901,18856
+,9456,11494,4028
+,16311,14121,420
+,2592,4391,8460
+,6038,4291,17745
+,5510,9178,9978
+,540,4138,10320
+,17738,13878,19530
+,17722,873,12082
+,1359,15995,13658
+,3137,19178,5969
+,9833,2930,5785
-,185,0,0
+,1041,12318,16448
+,8643,4471,6371
+,606,13548,7158
+,4826,18832,11639
+,12869,18994,7190
+,13242,4997,15263
+,12273,1116,5958
+,10839,9744,1525
+,6930,10748,2310
+,16559,3175,8206
+,16680,12735,16924
+,16200,19093,15823
+,4565,13928,9265
-,44,0,0
+,16580,16512,3391
+,14967,784,17732
+,9980,15254,4200
+,14641,115,5549
+,15180,18725,1485
+,8692,3890,8870
+,5650,8048,6391
+,14771,18986,7536
+,1404,4120,1692
+,17155,11108,19362
+,9193,11561,7367
+,9376,3818,19240
+,4853,15319,1026
+,11346,8101,4389
+,1215,3604,17875
+,3005,3219,15728
+,4758,18215,10540
+,13329,7235,15758
+,13387,9195,6456
+,5985,14143,17475
+,7319,13862,9529
+,12224,9856,19422
+,13129,4924,1043
+,9799,13969,2924
+,15368,18722,4906
+,4687,12687,9353
+,3535,11477,5025
+,10162,5361,11574
+,10566,14067,10176
+,2390,11832,8335
+,13093,18038,7829
+,11155,18245,7821
+,13499,8603,19016
+,13125,19308,13787
+,7386,18077,12718
+,17309,10682,2733
+,1709,18154,11626
+,6818,7374,18917
+,6435,569,13554
+,16621,12037,7412
+,9606,2394,11075
+,12066,15870,19809
+,6160,14158,9810
+,8311,12905,14446
+,1980,16483,9443
+,9791,4045,3866
+,15231,14826,6134
+,4961,11220,13393
+,16187,11236,5134
+,1472,1673,13767
-,455,0,0
+,17269,8659,10142
+,9639,7066,10714
+,15486,14840,12478
+,6269,4298,6351
-,277,0,0
+,8234,17512,1997
+,8714,8481,232
+,9405,13176,13018
-,763,0,0
+,18875,5125,12429
-,741,0,0
+,7772,6105,17050
+,4217,19596,217
+,15757,17258,14024
+,18125,19885,15318
+,17129,9622,11468
+,14816,8543,8263
+,17968,245,9583
+,4399,7156,1388
-,741,0,0
+,2777,6732,15519
+,15932,6012,12829
+,306,8628,5468
+,4047,6906,15707
+,15642,9627,17975
+,16872,8515,13420
+,4469,1911,18563
+,9906,13581,10664
-,27,0,0
+,18330,4019,3620
+,11145,11576,923
+,16600,15702,18759
+,7311,13563,12584
+,7195,3067,11733
+,9932,5683,1420
+,14205,13839,8071
+,14861,19954,12673
+,14115,12899,10179
-,0,0,0
+,989,16479,8500
+,8917,13980,14076
+,8886,10829,15816
+,3041,2173,3824
+,2580,16871,3984
+,2887,12669,278
+,5745,11039,17340
+,2569,7755,9537
+,10935,6006,13998
+,6461,11795,7791
+,15694,10395,10208
+,19449,8176,18356
+,13860,2640,3657
+,17643,12591,7693
+,13108,13567,3529
+,6348,1963,19706
+,12750,9567,9281
+,17929,14488,15691
+,253,2150,14401
+,11696,9957,9996
+,4763,12062,9488
+,19625,16182,4837
+,6118,771,8574
+,4129,19695,15045
+,17875,1846,3328
+,17204,9518,13649
+,1895,16683,19700
+,2000,8658,12682
+,1148,19525,6822
+,15874,4775,13200
+,16855,16458,7439
+,12627,10294,2093
+,9430,19302,16619
+,8720,5278,9068
+,6449,18175,2599
+,4392,5299,15984
+,10640,408,12515
+,1681,3618,5122
+,9707,9842,14644
+,14472,15194,15144
+,19368,15790,18653
+,9725,11883,14117
-,856,0,0
+,3619,8038,363
+,11658,12666,12781
+,6793,15003,19755
+,4357,18467,14056
+,4522,929,1448
+,7471,17743,477
+,17149,7672,17147
+,19488,5584,16631
+,3347,3375,19819
+,10652,16397,4662
+,13985,7755,3075
+,4109,14596,18515
+,12445,14009,14675
+,12848,19682,18232
+,19225,14513,9365
+,18006,12385,2220
+,19550,480,9642
+,648,18493,13577
+,6230,8226,12995
+,3172,10568,18423
+,2743,15739,8630
+,2642,7039,1474
+,11907,13754,13428
+,11227,3615,13145
+,13516,19337,19311
+,13697,14580,14201
+,507,11808,18468
+,272,9514,18515
+,8197,11602,9988
+,1346,18651,18266
+,11166,17138,14152
+,6761,6842,12570
+,9279,7720,10161
+,16223,14976,19321
+,17933,8814,12963
+,5070,18536,71
+,9999,5393,15148
+,8148,14761,7366
+,8354,804,15335
+,11156,5553,5451
+,15439,13896,17325
+,19188,12717,8824
+,9818,16734,13939
+,7017,17224,11450
+,2769,15656,5691
+,14257,15257,11835
+,3141,10329,7968
+,3486,420,3698
+,2274,12498,8306
+,18780,6774,6109
+,755,11060,11727
+,4468,1931,6958
+,15317,70,5633
+,12496,2300,12749
+,2050,1325,6445
+,8612,11827,16294
+,13491,18798,17672
+,2077,4121,10243
+,17083,4551,8718
+,3334,5629,10816
+,16045,14770,8066
+,9591,12650,8328
+,2600,3283,19115
+,19215,17763,6068
+,10533,13542,14784
+,1436,10175,15670
+,844,16677,2941
+,8634,14957,17221
+,5372,994,894
+,5025,1146,1669
+,14173,7341,8045
+,594,15315,10654
+,7360,7247,12112
-,523,0,0
+,5813,19466,2983
+,14784,10900,12387
