OP,A1,A2,A3,A4 
+,9271,3827,905,4034
+,6113,6448,5659,3758
+,9204,4261,1171,3102
+,1036,53,9487,3230
+,8423,5646,507,530
-,323,0,0,0
+,1942,2600,3037,8580
+,2307,8439,8009,2433
+,4155,8241,7914,4558
+,3820,4985,3225,1640
+,7426,5023,4738,3476
+,7724,1639,4413,2430
+,6371,9858,280,8639
+,1863,2101,1217,9772
+,7798,3079,7051,7107
-,879,0,0,0
+,2378,7962,8817,4777
+,8297,1816,4397,3409
+,6978,4647,1930,4738
+,2141,6966,9430,6187
+,7543,1276,4809,5715
+,4235,1944,4052,9579
+,6958,9515,5112,3050
+,49,3261,8000,9605
+,6613,6050,6496,32
+,1257,3509,1417,6364
+,7960,2166,9586,1668
+,7317,2637,3328,1649
+,7243,3994,8915,6620
+,8059,5968,9608,9579
+,8185,9070,2657,8261
+,1668,3548,1951,6453
+,3160,7808,6019,7717
+,1000,9040,5605,8847
+,1515,3422,4715,3801
+,4467,7387,5659,8634
+,305,4966,1447,6210
+,9906,8730,9687,3643
+,965,4005,5486,6215
+,8259,6640,630,9854
+,1200,3708,161,6932
+,6786,2419,8617,9634
+,612,2120,2128,7093
+,1836,9949,9247,256
-,168,0,0,0
+,7628,3872,4129,4506
+,4082,7203,2219,3283
+,8801,5972,1417,3131
-,94,0,0,0
+,9539,9787,1166,5204
+,4420,9672,7255,6939
+,1939,7571,6870,2167
+,8897,8213,5431,3247
+,3999,7961,7656,9724
+,6755,9758,4547,7429
-,497,0,0,0
+,2529,6251,4841,8601
+,8312,900,8253,2845
+,1177,9795,7195,40
+,253,6618,2514,1663
+,8249,8392,8684,9929
+,8119,3334,7985,1344
+,2115,4932,8753,2553
+,6275,7951,9178,4077
+,2469,2642,298,8527
+,671,8298,8253,7728
+,2281,8081,4084,9044
+,5759,4592,3587,5359
+,9728,9544,5487,9708
+,9101,1294,3203,3044
+,236,4904,6612,9531
+,7883,4438,8563,3761
+,3021,961,7118,209
+,7778,8718,185,8132
+,3053,3234,4994,945
+,9797,7810,8017,7210
+,4088,9680,3418,6256
+,5122,5094,3460,7231
+,3935,8439,7945,788
+,9203,7435,7897,3449
+,7813,1313,2646,9457
+,9207,9893,9043,4293
+,4673,9922,9210,5309
+,6333,7860,6712,269
+,8874,4729,4601,6769
+,7259,6688,4139,2032
+,8818,7098,9646,4549
+,5327,234,8191,7437
+,5527,4797,5342,7560
+,8696,6223,8699,1930
+,8228,1232,7278,1736
+,9991,1072,2929,2453
+,8556,107,9978,9511
+,9200,5861,5159,4263
+,6160,3323,4397,8301
+,4287,5293,9921,9934
+,857,1689,6002,1589
+,1261,4305,3950,5450
-,543,0,0,0
+,8948,5037,6363,2441
+,9639,3471,8854,7634
-,283,0,0,0
+,1663,5518,1999,9027
+,6510,2235,4162,2036
+,5212,3535,6724,3502
+,1687,2932,4335,215
+,8812,7892,3402,7672
+,9422,5555,2842,3359
+,2972,7885,2332,9028
+,700,4301,1548,6893
+,2611,4922,441,2534
+,7873,7811,5328,9195
+,1813,50,8994,8241
+,7004,1786,3177,4626
+,161,7651,2279,8751
+,7490,4698,9665,8935
+,3968,8983,8167,8645
+,1289,386,2211,2485
+,2801,4498,8520,7343
+,7073,6737,9845,6713
+,5636,7763,9374,2388
+,9979,2455,3671,4752
+,932,3023,4456,3894
+,8074,7776,3503,7657
+,1721,3063,3711,5989
+,3207,6389,2236,7615
+,9990,1246,6914,545
+,4709,508,8308,4468
+,1486,7148,3810,2197
+,5782,7018,2398,7662
+,4297,1569,4467,360
+,3222,89,9973,2170
+,812,9417,3311,4436
+,4652,9125,38,2128
+,4634,1919,5893,9058
+,231,7670,1529,2221
+,7667,5129,7251,8483
+,1453,232,6336,7764
+,5850,4629,9717,7188
+,499,915,5901,7260
+,9455,986,5855,4650
+,4011,6816,4834,6058
+,706,7618,2625,7008
+,8836,3184,4343,1514
+,7644,1559,2117,6130
+,6766,9799,9819,4367
+,2373,6455,7934,9479
+,8824,267,1552,838
+,6537,583,9679,2290
+,8709,3930,460,4498
+,5678,6895,8352,6805
+,4415,3213,282,6015
+,756,6522,4562,4471
+,6999,6986,8430,5956
+,6226,7246,6670,3982
+,2789,2018,7040,1114
+,2013,9688,1965,837
+,185,3002,7608,7049
+,8964,9348,8542,9617
+,2827,5150,9547,6615
+,8211,7384,7371,3429
+,8622,8453,415,6366
+,7736,6601,6100,81
+,7216,2738,9975,1985
+,6893,2,6577,8035
+,6083,3872,5291,80
+,414,6799,7744,6203
+,2513,8902,2793,9499
+,6063,2227,7992,1275
+,5109,3479,6472,8654
+,2375,87,2781,1857
+,3718,8291,6649,3672
-,961,0,0,0
+,8340,989,4420,7674
-,681,0,0,0
-,512,0,0,0
+,8157,9067,8720,7958
+,3437,8197,6021,3453
+,8341,1311,9149,4981
+,2203,7342,3060,7713
+,8863,4820,7644,5761
+,2193,6618,9275,80
-,132,0,0,0
+,3632,7026,8922,286
+,3922,3530,46,4183
+,3144,7780,389,2098
+,5830,5144,3472,9764
+,8332,2929,9566,3988
+,9872,9789,5215,6836
+,6011,4045,9577,3917
+,7320,5704,8165,758
+,4381,2856,9230,6210
+,3102,3109,2624,1406
+,7437,9627,1160,5737
+,773,9383,4519,4343
+,3566,3918,8794,2950
+,4429,8859,8316,6857
+,574,3202,470,5413
+,5866,8160,6616,3743
+,7785,6848,3117,402
+,3870,5243,7095,9952
+,5418,9298,6414,980
+,9225,6519,8762,9464
+,5941,3847,3823,6098
-,376,0,0,0
+,5265,2912,1763,8686
+,5657,9672,4015,7303
+,3719,9413,4091,299
+,1181,3876,8699,2595
+,5672,20,8934,5819
+,2651,2826,7139,7065
+,1867,3816,1014,697
-,12,0,0,0
+,8512,9779,8101,9416
+,915,169,8931,9743
+,8246,9818,8553,9309
+,8993,1417,514,6792
+,4983,8714,5726,7635
+,9535,5544,368,1284
+,4758,2869,2761,3238
-,862,0,0,0
+,9756,7222,9515,7965
+,1104,6590,4225,8867
+,4693,4626,4210,153
+,6292,5794,1738,7663
+,5951,4184,9862,4729
+,7304,276,2085,4234
+,8817,1157,8829,6599
+,5280,8424,9250,5501
+,5907,5821,3386,8945
+,9383,4324,5461,2201
+,3277,1231,7699,2906
+,196,5893,2925,5670
+,5715,5742,8648,9561
+,430,6101,2711,8379
-,126,0,0,0
+,3512,7984,9167,4593
+,8962,9813,150,9458
+,1331,725,3782,4150
+,211,7245,7972,2411
+,5474,8128,1289,8802
+,4918,1131,5779,1796
+,8414,2096,6502,3907
+,3901,194,1352,3275
+,3230,1988,9103,6958
+,9668,72,5628,8367
+,8870,2269,4724,8808
+,3708,6169,8533,5082
+,5726,14,6042,7141
+,4261,4381,5238,4802
+,7215,5312,4542,6166
+,5568,2716,6206,4600
+,5833,6610,2778,2001
+,4443,1997,7507,1914
+,8615,7870,3986,9793
+,1636,6463,1603,7351
+,916,1608,8329,8132
+,6170,3023,2187,4225
+,2507,174,7384,6300
+,7747,414,9963,4709
+,6346,1040,7814,3756
+,6043,384,519,8831
+,4125,1150,2997,4499
+,7173,6524,5678,405
+,8118,7003,8832,626
+,404,3497,4864,3545
+,7200,5437,907,316
+,4176,1375,3892,3300
+,8229,2574,3161,5677
+,7110,1309,4314,1438
+,8951,8464,5791,5944
+,7012,1033,6705,5751
+,8222,7036,4223,8383
+,3292,5466,6032,2827
+,4589,2903,9529,4567
-,204,0,0,0
+,6154,452,513,6389
+,9925,2311,9742,5604
+,3894,6994,8101,2138
+,1278,1539,5920,8647
+,7481,9059,4812,5415
+,5309,3659,6228,4369
+,3727,1944,5638,8646
+,2719,5818,9424,6656
+,1418,7175,9388,7796
+,820,3166,5862,2577
+,8489,6588,3090,8799
+,1297,7042,97,4869
+,6458,5077,3885,8983
+,4908,6525,4151,9050
+,6780,6396,217,3175
-,286,0,0,0
+,8162,9037,6327,7145
+,1188,4913,2924,7898
+,7147,1609,4063,6169
+,8317,1757,1473,7173
+,9070,401,5324,3156
+,1845,3287,7614,9605
+,9817,8651,4838,3020
+,1038,4537,3701,6121
+,2921,3936,1067,9879
+,5876,4634,3316,8067
+,1563,2819,764,9326
+,7107,8217,4551,2879
+,6185,815,8359,4682
+,5572,744,1467,7062
+,7450,5019,5341,8345
+,9096,1626,9941,4709
+,6476,375,3692,6928
+,9982,4464,8082,1934
+,741,4349,3907,7358
+,1283,1920,5993,2505
-,332,0,0,0
+,1669,3313,8288,728
+,2093,8809,1136,8446
-,774,0,0,0
+,8335,2939,1806,6561
+,1999,8602,1515,5926
+,5103,6280,2529,1880
+,124,3810,4255,2143
+,5476,6191,4934,4713
+,2347,5947,3049,9224
+,7710,2635,2248,1790
+,4839,7684,6771,6879
+,7826,6749,8922,6415
+,512,3571,8657,7383
+,8567,8686,2903,7671
+,7685,4428,9987,5814
+,5339,4509,3926,3454
+,9972,7643,8418,9601
-,413,0,0,0
+,3791,1057,5601,7621
+,5407,3742,2928,1489
+,5628,6021,1007,7022
+,2901,4204,3893,3517
-,108,0,0,0
+,996,4192,1812,3962
+,1605,8411,6342,9554
+,8313,2167,570,2784
+,6834,8314,6708,2880
+,6810,8082,1515,3331
+,6565,4054,8704,5144
+,183,8367,3372,2610
+,9732,615,8845,7043
+,7532,6239,8732,5155
+,5171,9731,4114,4510
+,8675,6352,8999,1295
+,837,9404,8794,9813
-,543,0,0,0
+,6298,4932,3105,8395
+,1827,9348,9739,780
+,2963,2445,9995,2912
+,845,7038,383,979
+,1024,3327,6375,3839
+,7930,6124,3115,4358
+,6525,4821,788,9957
+,4107,3618,1410,9059
+,7007,8434,6363,8587
+,1445,8148,9613,1497
+,575,8280,1776,4134
+,1580,5000,1847,4284
+,9310,2252,779,9340
+,3692,7294,5950,4429
+,7761,3951,578,46
+,3319,6863,9065,7499
-,183,0,0,0
+,6349,1446,1469,7134
+,6816,3043,6022,5440
+,3460,4370,6887,6238
+,1351,1405,3362,93
+,587,5815,156,4778
+,5948,6350,9759,6970
+,8342,638,6698,6103
+,7485,4592,2174,2918
+,3027,8587,8306,5372
-,833,0,0,0
+,7313,4965,4655,1542
+,8625,2114,7245,6514
+,9089,4839,9068,482
+,8120,3645,2913,4449
+,9289,9782,9089,2649
+,9999,6142,479,2241
+,9370,2862,908,9808
+,1387,2207,6878,3844
+,1352,8527,6518,1785
+,8523,2798,937,4282
+,1768,9595,7855,1847
-,873,0,0,0
+,4971,9437,6433,365
-,374,0,0,0
+,5719,9390,960,8018
+,2598,3722,1038,9690
+,9062,8326,171,3960
+,7031,858,8743,5472
+,4397,4091,900,3709
+,3137,7781,5914,3903
+,3544,9349,1682,6318
+,9693,8035,4871,344
-,39,0,0,0
-,180,0,0,0
+,9725,4601,551,7154
+,8383,5085,483,4762
+,1349,3051,3214,6717
+,4620,5778,5430,6104
+,5263,6836,679,101
-,21,0,0,0
+,6452,7868,1168,5321
+,2161,2657,7560,3470
+,6732,2268,371,9695
+,5788,9934,22,7755
+,3140,8915,7771,9779
+,6562,4704,5540,6111
-,755,0,0,0
+,9179,3432,2537,6666
+,8073,7623,3435,6254
+,5493,2678,6071,354
+,7819,3065,7258,9131
+,5627,842,2894,1852
+,7560,4394,6207,8549
+,7250,6101,4625,9335
+,8691,1057,6518,2452
+,178,8721,8938,589
+,1675,4957,9190,6190
+,8727,7851,813,4401
+,4327,4653,6813,7280
+,3099,3489,3888,5211
+,8224,9311,8151,3454
+,4769,3577,5785,9547
-,259,0,0,0
+,4109,9626,6197,3719
+,3687,6689,9591,1528
+,1658,7542,9393,516
+,5496,7427,8000,1056
-,842,0,0,0
+,1060,6038,4422,4215
+,1758,9785,2638,3221
+,3526,5094,8083,2584
+,3433,4477,7824,2520
+,3109,2224,5363,6108
+,6428,9883,484,306
+,5293,8699,4578,1942
+,6195,2766,6382,7994
+,2742,5729,244,525
+,8481,3131,4721,1319
+,2928,2976,9495,7086
+,785,7015,5238,1094
+,295,6646,9084,2070
+,8684,8568,8708,3216
+,2694,6195,3621,1234
+,9298,6825,9318,964
+,7108,7135,4306,2883
+,1874,5955,5737,3230
+,8403,6337,4167,4740
+,3735,5180,3165,7743
-,717,0,0,0
+,1273,5752,2772,7031
-,537,0,0,0
+,5116,8813,4572,3810
+,989,6455,233,5268
+,9897,8109,8019,9615
-,677,0,0,0
+,4202,6502,1311,6122
+,261,1920,5890,6455
+,1439,2687,1132,3430
+,728,6839,215,4397
+,520,227,6410,884
+,6132,6688,7073,3184
+,2001,2982,522,999
+,567,5388,172,4992
+,3056,5388,3777,3389
+,839,1155,9920,1615
+,5593,5131,1223,9186
+,1526,7363,7301,9878
+,1146,9732,3230,2925
+,5257,3028,8757,2236
+,7162,2273,2983,6569
+,8021,5033,5265,6957
+,5754,8641,3672,3306
+,3332,9969,816,7470
+,1423,6382,1129,7478
-,689,0,0,0
+,2604,8969,6920,3707
+,225,6881,8426,4088
+,4260,5715,2699,5364
-,605,0,0,0
+,2207,9794,5000,4343
+,1812,7781,6869,5603
-,902,0,0,0
+,5621,1874,6530,4784
-,501,0,0,0
+,1933,7658,2719,7692
+,3037,2588,7058,6676
+,7055,6372,7932,5226
+,1135,8444,7690,91
-,15,0,0,0
+,6639,5423,9388,6840
+,7722,8411,3028,5743
+,3209,1599,7047,3212
+,7423,199,9725,3301
-,750,0,0,0
+,2861,3353,150,7755
+,4445,4655,9622,2214
+,905,2635,6111,1868
+,1149,3486,7309,32
-,596,0,0,0
+,4556,3920,3811,9502
+,5824,7276,1059,4145
+,3707,5089,1947,7122
+,4598,4198,4581,6146
+,6645,9670,9612,3570
+,3535,6346,1669,6204
+,6395,27,7555,1329
+,7153,1588,2176,1371
+,2958,2973,7001,5744
+,7518,3542,928,8022
+,5292,8429,7723,2313
+,6980,9042,8601,6482
+,8751,5132,6575,1506
+,958,157,1145,7342
-,979,0,0,0
+,9484,3982,1573,4337
+,79,4939,4596,9225
+,8189,2036,1074,6201
+,3288,9351,3656,388
+,4910,6717,2453,1370
+,8803,3676,4366,6662
+,5000,9909,3943,991
+,4480,2728,9763,5876
+,4972,3906,9659,8720
+,9830,1347,739,8297
+,2571,786,788,7168
+,1012,4596,1011,4555
+,6636,496,3802,1989
+,5026,7293,4094,7678
+,3825,1046,797,3307
-,656,0,0,0
+,5148,1914,7686,8306
+,8294,9550,9310,4475
+,2416,6253,5945,1173
+,7814,1138,3982,2958
+,474,5807,8520,4719
+,2661,5764,5745,4544
+,3656,7024,8770,6271
+,1534,3041,7402,2123
+,9496,7086,8543,1875
+,2175,4893,2532,5452
+,2662,317,6276,3176
+,948,637,6876,6168
+,2324,8213,3491,9078
+,7001,7330,6956,1
-,544,0,0,0
+,3863,280,6472,3704
+,401,6641,6162,5755
+,5753,6893,6914,6669
+,9145,986,6379,4869
+,1127,3171,176,1080
+,1045,9340,7544,4533
+,5806,2086,172,3562
+,4453,930,9273,9431
-,722,0,0,0
+,9351,3257,4107,339
+,909,6310,9907,9836
+,2893,2771,5926,3471
+,1723,4201,151,8636
+,3165,9743,651,8622
+,4156,1619,8142,3374
+,2246,1979,1634,4000
+,9508,802,3683,9581
+,1015,777,6243,6376
+,4128,7604,7293,9218
+,6493,4280,3845,6922
+,7079,7615,1069,8398
-,435,0,0,0
+,4162,7610,913,6793
+,5505,6477,975,4871
+,6572,3390,8578,9237
+,762,4802,9477,5629
+,5207,867,4046,7061
-,81,0,0,0
+,8190,7984,2548,3715
+,4903,1495,7949,4167
+,8730,958,7687,7027
+,7771,106,2116,6172
+,6408,2370,3184,9410
+,6975,5629,7285,6719
+,9186,2239,3712,5945
+,179,4270,4015,6719
+,4161,3802,4141,6090
+,208,4979,7229,9129
+,6427,1832,7240,1567
+,6828,6356,3568,9732
+,148,2621,394,1213
+,4500,2794,5278,6621
+,2658,776,3497,7651
+,3918,5852,7143,7098
+,447,4350,1943,7676
+,6488,5607,3165,3660
+,2758,9840,97,5975
-,540,0,0,0
+,1370,3187,1207,5705
+,5530,2402,4794,739
+,6243,3362,4425,9954
+,7836,6845,7883,1539
+,7589,5828,4552,160
+,9589,3664,5762,1132
+,7924,8498,3957,8985
+,5820,6499,7826,869
+,8633,2475,2369,7794
-,312,0,0,0
+,8563,2994,30,6348
+,7046,3050,2156,9993
+,9926,3862,3834,7699
+,7615,743,3489,8795
+,2334,5715,5746,3863
+,1408,5388,6237,355
+,42,1943,8501,4365
+,3528,9312,8922,1492
+,9169,9126,6679,1494
+,1879,5985,7666,2223
+,2034,583,7087,1351
+,5360,9503,3318,3698
+,6549,7468,468,5526
+,7089,6744,4200,3580
+,241,9713,1610,7411
+,5230,2062,9251,3697
+,7933,1938,4353,7780
+,7116,9438,2592,5692
-,547,0,0,0
+,7610,988,4344,1901
+,5204,5964,1767,5789
+,5647,552,3549,9747
+,5299,2346,5444,9785
+,3306,4766,7624,5438
+,4460,4482,8862,2403
+,4268,3765,5702,2425
-,939,0,0,0
+,3568,767,7045,8767
+,2086,432,9011,2481
+,6751,5561,2820,9585
+,5096,4509,3621,7228
+,2862,9985,9481,56
+,7148,8072,6432,7648
+,7068,2279,961,7394
-,254,0,0,0
+,3438,8036,2932,1866
+,7385,6081,9585,3813
+,5510,2443,9918,2878
+,60,284,9627,7328
+,9295,9990,2727,3568
+,3178,8424,1301,7940
+,3069,17,2018,5788
+,8368,909,9781,3085
+,9740,3821,5553,2419
-,512,0,0,0
+,3166,786,5892,5100
+,47,8984,3798,8224
+,8701,1501,3151,1659
-,689,0,0,0
+,927,7651,720,3186
+,3365,4277,1066,8054
+,3375,834,8459,7107
+,3243,1022,7557,2962
+,411,7623,1867,9248
+,489,8728,6985,3926
+,4471,5781,1953,6230
+,2606,5037,8311,3541
+,6994,1610,5166,2744
+,9291,9100,5735,4821
+,742,2354,2295,4615
+,3560,1670,2155,4054
+,5822,6638,7202,9500
+,6324,3400,268,1245
+,8930,1161,1404,9922
+,5746,4913,9518,8246
+,9419,3140,2909,4485
+,2215,2205,2483,6595
+,3655,5047,5585,7278
+,2317,6027,3532,5004
+,3264,2291,9754,7457
+,4526,2296,3450,9687
+,8978,3622,3062,8691
+,4441,5653,5739,8691
+,11,9872,7576,7801
+,9041,8308,9864,563
+,7199,8744,6262,2934
+,6651,7368,9285,7198
+,9793,9915,3973,5915
+,382,1941,7619,915
+,7919,8756,9326,1682
+,5740,3750,1258,3890
+,7618,2475,2044,6180
+,7574,5960,7128,6699
+,2926,8770,5052,3454
+,9397,1105,2964,4173
+,1369,8476,8183,8109
+,4341,9261,10,8989
+,7594,7021,8412,3219
+,6961,2482,5929,3910
+,5333,2851,2841,2859
+,9811,2377,2731,208
+,681,4029,2771,4513
+,7759,3880,3881,4394
+,573,9374,769,6107
+,2468,2768,8016,445
+,7698,5972,234,8224
+,3170,1401,1757,3648
+,1469,5131,7777,8615
-,113,0,0,0
+,2881,6373,3921,491
+,2718,4210,4284,1048
+,7979,1264,7681,6237
+,5878,8369,9857,7989
+,5003,2378,735,4180
+,4695,5857,6476,3773
+,6468,4326,6085,4377
+,6148,4334,1662,3114
+,841,5754,6563,9275
+,5014,6612,7714,7714
+,9412,9579,8342,9603
+,6815,9898,2290,2969
+,9323,6494,4479,1341
+,296,5408,5704,1834
+,4019,3355,9411,1779
-,309,0,0,0
+,848,2870,7744,9820
+,3511,6606,8383,1185
+,5617,9206,4679,6323
+,5439,9892,1669,9342
+,5219,8190,7451,1433
+,6876,8967,4779,9063
+,5356,6602,1171,3270
+,450,3573,9024,8947
+,1538,2854,7239,6323
+,6222,8051,5470,8546
+,957,4475,5377,4693
+,2174,4143,8473,5414
+,1010,2453,2374,1448
+,9644,4366,447,1100
+,33,5869,9949,8760
+,7673,3757,9285,9973
+,2020,8845,5442,9049
+,1495,5556,6791,2803
+,7907,2198,1644,5106
+,1477,9958,7242,3135
+,8202,8466,2292,426
+,9664,6607,5195,6118
+,142,7284,5093,7286
+,252,1679,1760,9664
+,1585,2405,5449,9726
+,3124,3908,8841,3400
-,407,0,0,0
+,7599,4722,6235,2739
-,949,0,0,0
+,726,6158,5705,1648
+,9473,5513,2338,2729
+,6568,2663,6412,4619
+,8171,1625,4191,5651
+,5350,4857,1776,9712
+,1293,382,2962,4062
+,2840,4295,721,4755
+,593,7803,9927,9002
+,1633,9109,3814,2247
+,4497,4597,8464,3913
+,3899,7886,5354,3064
+,5343,7577,7115,7114
+,590,959,6428,9914
+,8452,9594,7992,5350
+,7276,7254,6213,6609
+,4043,7231,8119,9473
+,8547,3643,4164,7215
+,966,6066,9898,2236
+,3296,4168,9366,3248
+,5457,9334,3173,3466
+,6291,7379,2612,2313
+,3699,504,9214,5422
+,5187,5029,5790,2344
+,1375,5137,7710,2297
+,947,918,4714,9588
+,3804,3990,3692,6554
+,8299,8066,6368,3093
+,6484,5113,9957,8403
+,7252,3249,2006,2086
+,8997,3433,4904,6987
+,5515,4821,6288,6011
+,5712,5759,8886,2316
+,2040,844,8004,9734
+,9865,4662,1667,5088
+,2748,285,2998,3699
+,9223,7809,482,8487
+,2729,1030,6762,303
+,4172,8000,8367,8472
+,2150,9041,100,8191
+,819,4207,2502,820
+,9052,304,4208,8211
+,5458,8548,4043,5308
+,5525,7482,1174,1614
+,5571,4264,570,9966
-,939,0,0,0
+,8686,5020,8339,1141
+,7816,5371,7538,5424
+,8564,8646,8959,5761
+,9350,2355,2602,1082
+,440,3337,1600,9088
-,860,0,0,0
+,2316,708,1023,586
+,9431,3063,9400,3579
-,421,0,0,0
+,5874,765,2892,9607
+,9597,2157,701,2593
+,368,6693,7176,6877
+,7805,7058,6478,2862
+,420,2329,383,1757
+,4582,9389,7867,4400
+,1061,4605,3826,4179
+,9619,8126,7797,8789
+,9727,6778,6137,5807
+,7262,1215,5411,3592
+,3838,6952,2570,4879
+,265,2297,1790,2017
+,8908,2797,2518,3360
+,274,404,9426,5943
+,7466,9937,1703,1904
+,6054,5139,2105,7868
+,7436,2570,699,4006
+,3258,2202,1108,2908
+,7922,1030,2038,2271
+,5879,6001,9722,3411
+,8364,6034,432,2684
+,2395,8545,787,4844
+,8765,926,7070,1412
+,8075,9696,3222,7294
+,2703,5253,999,2173
+,9088,2011,595,4963
+,3778,1099,3980,7564
+,3761,9050,5523,1693
+,8755,9846,4599,3029
+,7948,7954,6800,670
+,6212,2633,9152,4436
+,1397,3875,9648,3322
-,571,0,0,0
+,3366,890,5577,2816
+,3903,1183,942,5937
+,9251,6342,4679,665
-,937,0,0,0
+,3067,2075,7486,1314
+,2257,3772,5787,2955
+,230,5225,1941,4994
+,9477,1382,2877,2107
-,383,0,0,0
+,1892,4476,3504,7335
+,1635,4958,5105,8868
+,7807,5745,9112,6799
+,2935,6222,4130,9255
+,2663,5782,668,5523
+,4655,9969,7914,4161
+,8554,5744,3750,8335
+,5655,6909,5229,3810
+,3714,7394,2828,1947
+,804,5503,3097,3114
+,6608,9586,1245,4612
+,1750,7452,3034,1492
+,5152,317,5385,1456
+,1657,2750,6483,9941
+,707,6722,5457,110
+,5882,650,1127,6052
+,1789,5873,888,5163
+,5033,2554,9400,5365
+,6937,3931,4664,5502
+,4931,6672,8773,7091
+,9321,6465,6903,6165
+,1272,702,3408,3804
+,8505,1172,1273,4952
+,9844,3784,4711,1797
+,9172,1652,7179,3455
+,438,5716,3759,801
+,7133,7368,3027,8295
+,2516,8059,4079,7229
+,2431,6512,9737,5929
+,6674,2036,2046,3052
+,7939,2085,5269,5722
+,5345,5046,8482,4126
+,8623,8689,1419,2314
+,7264,4337,7557,3344
+,5511,625,8881,7130
-,421,0,0,0
+,5541,2937,1277,5231
+,7139,6684,811,1198
+,704,8984,8311,6945
+,7767,2305,3557,1624
+,1591,9921,418,2998
+,5633,5356,7625,4357
+,2178,352,5339,3573
+,699,3509,277,4078
+,4380,4068,9464,9289
+,415,6536,9713,1857
+,505,4772,3619,7515
+,7925,1230,1334,1499
+,823,266,624,6213
+,1240,2805,4191,6903
+,5902,3187,741,649
-,861,0,0,0
+,2759,8433,4471,6581
+,4829,134,8634,7977
+,4361,6703,1315,6706
+,4654,9426,6928,7836
+,2229,6571,8790,1284
+,9197,1672,4447,122
+,6350,2101,4087,4087
+,8191,8673,5003,7053
+,5068,6123,9942,4961
+,7061,5963,5491,7932
+,7754,7084,8160,9518
+,9029,468,3811,5298
+,9734,2380,2516,4396
+,1539,1288,5131,4073
+,6172,878,4241,1163
+,7360,6812,3419,1566
+,6365,9713,7167,6637
+,2951,4782,9159,4168
+,3516,3376,1170,6153
+,2982,4825,6094,8157
+,8773,8886,6626,1870
+,2110,304,2037,7521
+,5301,466,144,9092
+,4783,6290,8104,8888
+,4566,9724,70,3617
+,8901,196,8902,1644
+,9627,7358,1146,2451
+,5710,98,8747,734
-,490,0,0,0
+,3192,1717,173,1506
+,8511,3366,4986,7924
+,8669,9897,7232,4697
+,7727,1472,2518,7200
+,5216,5381,4727,1687
+,7705,2940,8472,5612
+,2981,7839,3229,2529
+,6903,9366,2181,4941
+,3024,190,3887,1928
+,9530,6680,8597,6335
+,1883,8548,3481,1315
-,799,0,0,0
+,6730,2528,3428,9566
+,1821,1113,2946,7344
+,1719,112,2998,64
+,521,4596,3331,2160
+,6998,5258,960,9634
+,1239,6239,8880,3928
+,9937,6908,7019,8921
+,3990,3469,8414,8953
+,2955,180,1066,7843
+,2391,8763,2623,6278
+,3013,9540,268,2121
+,9711,7832,3337,9695
+,4740,8748,6116,9960
+,5896,3705,2154,7134
+,1064,2830,7298,7403
+,4496,8382,860,1649
+,2214,3568,2247,8159
+,103,5854,1493,3793
+,2422,731,950,7963
+,1343,924,5171,9454
-,336,0,0,0
+,1608,6157,8354,3633
+,5802,5067,6602,5911
+,1391,4183,5755,6688
+,7167,3559,4762,5225
-,191,0,0,0
+,6601,6638,3096,1073
-,895,0,0,0
+,1691,6702,1084,1877
+,7431,3322,6959,800
+,862,2765,5262,8785
+,1009,265,3348,3869
+,5939,812,4780,9722
+,6046,2187,9056,5132
+,3447,6008,1393,1915
+,523,5745,221,4942
+,9354,1875,1987,5712
+,8663,4393,8191,1918
+,8923,3897,5284,65
+,9640,4600,4343,2949
-,591,0,0,0
+,6543,56,3237,4606
+,7702,8872,5183,2819
+,4065,1802,1475,5674
+,5272,7506,3854,3439
+,3072,1210,539,2972
+,477,5536,2947,1356
+,6749,6835,2997,4547
+,6251,3309,5667,6696
+,684,2117,8126,7031
+,9887,646,5718,1372
+,4902,1929,1739,9192
+,3175,92,8390,5207
+,7984,9263,9937,2776
+,813,7694,4894,5555
+,8083,3749,9937,3628
+,2813,3891,886,283
-,565,0,0,0
+,1855,2379,6921,8207
-,572,0,0,0
+,914,1783,4466,5914
+,7581,6766,3155,2695
+,7297,5227,546,2159
+,942,5241,3804,2265
+,7854,4926,3746,6318
+,5336,9521,686,4783
+,4337,6613,156,5124
+,4483,5967,6061,1257
+,8375,8842,1814,1775
-,451,0,0,0
+,9073,9154,7127,749
+,1021,6351,397,2170
+,540,6690,5331,6021
+,123,7195,5485,7570
+,6593,6245,2081,6824
+,5069,822,5406,5503
+,3770,7116,7446,1697
+,1701,5371,5441,6100
+,7749,6887,2626,4817
+,4530,1106,4400,5224
+,8792,9431,4207,8228
+,7427,9114,4181,2126
+,7152,3815,5177,2676
+,4888,2114,6516,1704
+,9083,3133,3354,5335
+,4439,5405,5055,6350
-,881,0,0,0
+,3040,553,5971,620
+,6855,6251,1627,8837
+,963,2070,7253,2424
+,955,1915,8977,1758
-,719,0,0,0
+,6453,3577,7477,9505
+,7548,3159,5218,8431
+,7130,2138,1597,2084
+,4760,1516,3974,397
+,5861,2420,8072,6811
+,5808,9797,4289,7590
+,9562,4850,7597,1758
+,2896,4567,3045,6478
+,9454,4754,9420,4025
+,481,854,7703,3134
+,8954,3414,2594,3424
+,2532,3042,39,5345
+,1720,8155,6814,1235
+,4186,9865,6914,8901
+,3633,7868,907,6272
