OP,A1,A2,A3,A4,A5,A6 
+,2199,348,6623,6091,5186,9287
+,4984,3532,3280,6060,4163,8509
+,9431,6009,9414,7061,135,2099
+,9280,7893,3981,4835,9806,2246
+,8599,3523,2766,5702,7207,1896
+,3652,7783,9921,7902,3482,6294
+,2581,4038,3475,9947,6326,158
+,5722,7273,9419,6910,9057,8434
+,2763,768,4791,2854,8379,7190
+,1013,1658,8837,1586,3458,7359
-,961,0,0,0,0,0
+,2057,440,1288,4093,3899,4520
+,898,1484,2788,9709,1480,7452
+,9914,2662,8038,3917,8024,5386
-,116,0,0,0,0,0
+,61,5423,6792,7877,4219,6011
+,7949,1198,2464,8492,5745,7519
+,5637,3117,8449,3178,6299,8994
-,714,0,0,0,0,0
-,666,0,0,0,0,0
+,9958,2331,767,2927,803,5669
-,734,0,0,0,0,0
+,6891,3203,8149,9789,9257,6821
+,5566,6570,7642,3181,2134,4616
+,4056,7333,3160,987,7023,689
+,6033,7451,4369,8506,3471,2227
+,465,9055,2432,7791,7418,3180
+,5728,6655,7184,8805,4924,9173
+,979,931,4909,6239,9194,5057
+,4408,8430,4898,212,2301,2307
+,7581,7047,3565,7496,936,109
+,9611,1956,515,1362,6715,6766
+,2195,4770,8676,6577,2607,1090
+,6842,1247,4266,2479,390,5079
+,7401,4644,1752,7965,9306,5981
+,4865,3285,3134,566,8504,8243
+,6721,1910,9525,9674,9678,3151
+,9833,7119,1763,6741,2495,9961
+,222,2222,2764,770,9686,6298
+,9979,5195,5003,4545,1508,2963
+,8515,7585,5574,8505,5566,7376
+,3877,3893,2605,1768,3591,5092
+,3833,9432,8445,7938,5199,7282
+,5803,1314,1160,3090,9230,1271
+,8503,7026,3554,4740,1419,7295
-,57,0,0,0,0,0
+,2722,4095,1882,7217,778,7313
+,6143,4574,5436,192,111,2666
+,9179,8472,22,5084,3696,2185
+,6035,9744,5755,5525,3887,4049
+,2310,2163,7968,7749,1265,9838
-,241,0,0,0,0,0
+,9040,7249,5484,3091,7671,3896
+,7997,6544,7799,1379,2317,6640
+,6973,7060,8720,3251,2442,5375
+,6342,6166,4561,607,4220,413
+,2775,1189,4906,4056,2756,7373
+,4100,5460,5975,5011,7578,1003
+,5257,425,6315,6292,9844,6900
+,1360,127,8911,607,8898,5149
+,3821,1510,3782,9830,1947,7561
+,4265,1872,5079,8147,5568,2198
+,3527,7245,3425,8375,1498,6037
+,4341,1168,4354,735,9125,7108
+,5719,3561,4554,9646,1710,4707
+,3680,4804,9630,270,7396,1730
+,5065,9496,3686,387,7924,5389
+,9314,6272,6389,8121,6799,7029
-,489,0,0,0,0,0
+,5661,7873,2167,5479,2275,7529
+,5384,6574,1106,3327,542,4071
+,883,3905,7351,7635,119,7090
+,5946,3843,4128,8497,7595,4947
+,2240,7191,6131,5568,1693,3206
+,3599,3224,5358,365,5413,4907
-,56,0,0,0,0,0
+,1422,6260,2172,9275,2829,2217
+,5541,1553,9549,3601,6261,9714
+,7269,1883,3308,3847,5883,4832
+,4022,5952,1420,7181,5079,2896
+,5088,6619,8830,348,7790,3522
+,2926,6270,7623,8749,9770,8632
+,4746,5886,2991,2984,3791,7026
+,371,9773,5329,9180,3406,3233
+,3874,3849,8647,9162,4836,5104
+,1704,8948,2369,1660,8639,3241
+,8860,2486,9113,4971,3872,9082
+,7030,7199,7092,9862,6140,3067
+,6567,5618,4200,9494,8718,7530
+,5835,6710,5837,2459,5240,965
+,2307,5141,7446,3298,5037,3430
+,1287,4147,4418,3195,9310,9746
+,9638,6839,8145,1671,2526,752
+,2833,102,5718,3208,6941,4315
+,441,2993,3916,6735,5701,9549
+,1089,4745,9833,8582,5326,3387
+,4584,5087,1856,3061,2035,528
+,8612,4518,5657,3898,9371,5933
+,8275,8976,2888,2560,6916,4423
+,5625,3980,5536,9684,9370,4794
-,894,0,0,0,0,0
+,6160,4291,6849,1435,7499,8594
+,3348,4884,1073,9410,1761,9513
+,7541,7513,1278,3655,7704,1677
+,5429,1578,2232,8346,9190,3034
+,5854,1973,8293,6797,6628,3887
+,8692,2948,153,8453,1572,5529
+,6442,6062,6860,5670,8523,7766
+,5114,1680,3770,9819,5100,3326
+,2039,9516,3134,8333,2192,9708
+,1448,9646,8034,5650,7740,7921
+,4352,4047,1169,5583,4774,3110
+,7071,1681,6954,8698,6781,5361
+,7755,34,5955,5421,1092,7364
+,8190,125,6307,4974,3842,9228
+,9865,9221,9946,8952,4055,2198
+,1252,9153,2516,4121,3021,8614
+,7198,8820,8533,8342,9340,6997
+,2064,4510,6995,5362,5876,4436
+,5315,2533,3051,2988,7039,5892
+,3190,4399,8956,3732,3547,2178
-,653,0,0,0,0,0
+,1198,8160,5678,6970,8398,259
+,220,8704,8584,2273,4468,7649
+,335,6125,4707,4401,4574,6513
+,6714,8339,8759,2075,4941,5615
+,3076,3859,8192,4208,4162,571
+,9873,6794,7578,2585,3360,3291
+,3436,1311,7190,9846,8848,5792
+,5534,6133,5426,2357,5825,8416
+,8637,6204,8479,6209,7698,332
+,3386,739,835,9785,6338,9511
+,2580,576,4892,4670,3898,9294
+,7208,1740,3571,6572,1587,5140
+,3930,2126,9979,1483,5881,9552
+,214,4766,7392,9889,9763,681
+,815,7638,5773,4985,399,5635
+,6858,5342,4178,5633,2705,3444
+,9074,8601,9060,2718,7470,9823
+,9118,3896,2867,9576,7316,7503
+,1487,5169,8363,9186,5822,3807
+,3451,9233,3424,476,7666,4784
+,935,4630,6419,3233,7190,2930
-,858,0,0,0,0,0
+,8594,9531,1596,8488,450,4183
+,4719,7798,5324,1726,6203,5833
+,889,4736,6115,6815,8395,1804
+,2099,7126,4543,7069,4164,6675
+,3056,9187,6310,9237,8385,4604
+,4089,7972,4444,5495,2912,4426
+,2459,1937,3572,6420,8703,9945
+,3760,9702,4051,2934,7139,7990
+,4051,5658,110,3589,2483,5126
+,3237,6396,6907,5270,4821,7647
+,5476,9861,479,51,3272,2869
+,1084,2369,2948,9628,1177,8632
+,9468,2048,385,7512,6498,6203
+,378,3804,8706,2098,5393,6127
+,9418,4957,2147,8702,5031,3500
+,2682,1588,9522,9059,2242,8270
+,3266,1140,432,7207,2811,2890
+,6037,4367,1702,8977,325,9927
+,4639,4604,5052,8287,2757,4358
+,3608,6791,5836,6567,4656,5166
+,1102,8482,973,241,898,3381
+,1592,3726,2155,3435,7911,1590
+,1003,5816,5899,409,8440,8125
+,488,2422,1935,2678,3846,2921
+,5978,3636,4691,6056,7826,1754
+,2509,8232,24,2866,2742,8338
+,6285,816,7292,4841,435,9650
+,919,9891,967,1477,3246,7854
+,4980,9461,4419,2388,6698,7040
+,4112,4855,3563,8003,1524,6091
-,572,0,0,0,0,0
+,6794,9577,5474,5620,298,6241
+,2659,9291,7117,4404,962,6043
+,6006,2101,1980,6853,3346,4929
+,6831,4787,1696,6974,7831,5277
+,2453,192,4186,6014,2112,2725
+,5127,7559,2774,4581,6951,1149
+,7098,2286,2870,8024,4579,382
+,649,57,5983,8958,7706,7091
+,7604,4655,2983,5996,2998,3278
+,48,3570,9567,929,6126,9627
+,5690,5123,4849,9111,7256,1543
+,9309,4937,4423,5979,4715,8746
+,2069,4127,3458,204,1310,3824
+,3494,8347,4305,9985,3534,4265
+,2339,3754,3448,7181,5722,8219
+,3709,4197,4755,2668,6022,9207
+,1706,1942,8310,5960,8500,3198
+,5734,6936,6726,1345,5956,6124
+,9011,5660,4623,1867,4286,3398
+,5471,5356,4710,9345,5262,675
+,481,1323,7301,7789,1083,453
+,3776,3604,2072,8150,2716,5231
+,7800,6551,7939,3357,2099,9377
+,7268,6750,6848,3728,6345,6841
+,6551,6510,7416,6341,2385,1986
+,7871,706,7043,6027,2776,9415
+,6256,5554,1942,5016,2946,578
-,383,0,0,0,0,0
+,8486,4111,3236,7745,2440,8973
+,8259,5689,8117,4434,9191,3492
+,6673,7801,6617,7580,4199,4590
+,8132,6326,6293,1370,8615,4982
+,819,8076,9341,6544,2342,1742
+,785,2730,6841,2402,8697,8179
-,889,0,0,0,0,0
+,974,2275,9501,554,2246,2687
+,5720,9712,3000,2372,436,2630
+,7217,3104,1563,9444,7191,7443
+,2329,5421,3570,7556,4481,8087
+,5560,9324,7928,5308,5713,3929
+,1596,7942,8648,4381,2168,1937
+,6244,24,5315,2126,9366,3758
+,4257,5310,718,3805,9632,415
+,7126,2487,6536,8505,4917,7884
+,8303,6056,3248,1097,5266,825
-,355,0,0,0,0,0
+,4531,4686,4359,3002,7077,47
+,3448,5925,7145,9422,238,6413
+,1554,835,9114,6025,1906,5329
+,5175,109,556,4041,5261,5303
+,7989,4262,2026,5737,5144,3268
+,9992,6584,9142,6009,6668,3620
+,2363,4508,1540,8072,5682,2859
+,9364,8142,4261,2184,2661,6418
+,7577,5625,3210,4551,2922,5928
+,5365,2920,262,1770,360,9406
+,3933,7216,8579,8619,3886,7125
+,252,5553,7036,6413,1537,9507
+,9224,8467,2682,6794,6442,3696
+,3271,176,591,551,7893,4624
+,7546,6982,7664,9643,8913,6667
+,2045,1220,1295,6045,4993,9395
+,627,8863,2998,4810,4054,806
-,42,0,0,0,0,0
+,7539,3799,8783,1240,3669,301
+,6780,9744,548,3333,1379,2129
+,4279,7668,9277,172,515,5652
+,1096,9912,5290,6864,5612,8474
+,9801,635,6797,5972,4006,846
+,8411,5920,8811,143,1594,728
+,4535,3494,2175,5813,3231,5889
+,4974,6117,5792,8372,5930,210
+,6382,6239,5071,6294,2915,3728
+,8288,3142,387,5743,4035,5588
+,4024,2657,2899,6930,4580,4171
+,6621,5831,764,9172,7444,4037
+,3242,3329,1331,3250,128,5117
+,143,6982,4456,2277,8595,8462
+,6017,4240,2377,5692,6858,8410
+,4811,5037,2598,2902,6808,7022
+,3721,2259,4119,2004,8160,3438
+,6065,8439,6416,7203,1237,3874
+,8175,9639,9071,498,5099,8779
+,5900,5614,6517,1794,6259,4960
+,476,7781,5848,4210,9961,2183
+,2101,3540,1972,8734,7224,9377
+,3790,6342,2366,8708,9994,960
+,4499,9534,1896,3406,7286,9862
+,8583,7688,9215,1514,6593,2587
+,1556,9327,9348,7006,56,1264
+,2608,6403,7575,9098,103,7867
+,2737,6563,9985,7279,2080,4329
+,3958,6164,3213,2614,7667,4899
+,4332,960,3668,3375,8188,7998
+,6488,3815,2850,6396,8575,5034
+,720,6399,4692,1666,8155,4511
+,6423,421,7196,3727,3488,2943
+,5483,788,8838,4627,1791,7228
+,9822,2776,6997,3819,5383,7600
+,1996,1840,6532,9242,8001,7333
+,4585,8858,5093,1245,3624,7201
+,5311,3207,819,8645,3589,2426
+,8344,1929,9036,5341,2501,7523
+,609,7044,1020,9474,1445,4923
+,2236,4775,8939,2340,2520,1201
+,5162,2200,4215,6460,8130,9116
-,475,0,0,0,0,0
+,1298,6352,9145,4740,8377,2866
-,999,0,0,0,0,0
+,3116,1590,2080,4068,5425,939
+,6220,6702,2119,1792,7397,1650
+,444,5610,7767,5345,5644,1512
+,1305,1425,3323,6372,2317,3173
-,721,0,0,0,0,0
+,9667,7226,4283,8992,2508,6626
+,8203,8728,9883,8183,2204,1116
+,3845,2570,8859,6774,1058,5050
-,929,0,0,0,0,0
+,3097,2134,2493,2271,4833,7268
+,7945,3188,7753,251,9931,7046
+,4149,9181,1570,9367,3365,3690
-,114,0,0,0,0,0
+,4211,1243,9161,6665,3264,9439
+,7344,7739,4178,5399,7731,4879
+,5639,168,1255,4864,9997,9906
-,261,0,0,0,0,0
+,8574,4240,5513,798,6472,1670
+,7011,3595,1609,2055,6995,2959
+,648,3373,6343,324,3293,3876
-,207,0,0,0,0,0
+,940,6720,7735,8315,6421,2228
+,3360,811,8862,2086,3168,962
+,9036,7955,459,6137,5347,5989
+,6135,3679,5959,4656,7648,7459
+,5996,3087,979,8555,4675,9463
+,2557,9616,185,942,7317,2725
+,37,4454,7597,2084,5356,7780
-,854,0,0,0,0,0
+,1251,4493,927,4228,9803,5742
-,537,0,0,0,0,0
+,4233,6364,1355,3097,5747,3024
+,4700,8615,6551,5988,7027,4094
+,543,1575,7750,711,5723,3157
+,7070,8715,7386,9332,2650,394
+,4348,7536,9104,5163,9836,8327
-,923,0,0,0,0,0
+,4472,1293,2773,8572,1178,3431
+,3475,5114,5346,210,554,1145
+,2355,1099,4179,4411,6146,2818
+,2225,2363,1154,3425,4160,501
+,9589,7415,5139,2039,9656,5367
+,7460,2505,5907,9118,7202,1913
+,9101,3284,7102,9588,6465,2662
+,1392,7820,2398,1400,8684,9540
+,1823,4319,5492,3663,7771,9543
+,6391,616,6462,8470,4180,1376
-,578,0,0,0,0,0
+,2795,3384,6461,2472,3720,8031
+,8833,5373,5104,4263,2716,3773
+,4433,1955,8361,5827,728,5731
+,5198,6255,7811,6258,5308,5515
+,39,2346,5441,6683,3956,2297
+,3322,9682,231,5914,4064,5343
+,3929,5930,2024,9509,8139,4360
+,9684,5122,3828,6968,1499,5151
+,4936,9332,4168,5651,8426,5041
+,8102,7346,5399,4301,7252,438
+,7343,8943,3120,863,1116,3666
+,950,2431,9632,8625,9885,769
+,8685,1942,9255,489,5555,4018
+,784,400,1546,1947,7531,5246
+,7738,8409,1080,5264,6497,6415
+,5274,6562,9026,8061,4567,4816
+,7155,2188,3302,9763,8453,4656
-,540,0,0,0,0,0
+,2514,2249,5548,5294,4258,174
+,4362,9626,6783,3270,154,796
+,0,6420,2965,4800,7511,2357
+,5600,5112,991,7492,9213,9155
+,7084,7150,3849,6180,8415,6694
+,339,9306,6393,6648,760,8793
+,5706,5752,8532,4525,1616,1388
+,810,2795,3750,3928,8345,9238
+,663,2670,2035,5129,3110,4450
+,8301,4980,8712,1491,7517,7118
-,171,0,0,0,0,0
+,5242,9934,2201,6370,2532,8320
+,506,6429,9985,6287,8875,4381
+,8509,8285,446,6298,2166,1364
+,6908,2346,9718,4475,3621,9278
+,7010,959,2628,3116,3729,1712
+,6865,4162,4107,2165,6423,3955
+,2671,6385,3727,1829,8109,9017
+,1864,6997,346,7857,4237,5952
+,5490,3701,8725,3783,376,3684
+,4413,3130,6381,39,661,2682
+,2452,9962,4137,8930,6527,4020
+,3077,725,4792,4874,2037,9853
+,1507,7103,2457,4519,324,4725
+,4345,9177,7357,7330,9779,5396
+,4232,7578,3466,6846,1233,8933
+,9786,4879,9258,3550,1811,322
+,3924,3298,5228,1919,1270,7244
+,8072,4579,242,5657,4846,8043
+,6535,8096,9469,9258,9472,4000
+,4485,4870,9879,2587,3078,4247
+,3704,4197,3860,8691,3433,6737
+,2548,8661,129,7939,54,9292
+,5862,1959,1316,7053,7312,8755
+,6868,5257,4210,787,5318,7056
+,6331,5211,5836,7989,2220,919
-,63,0,0,0,0,0
+,3556,8797,6800,9162,6287,8216
+,1696,3126,266,9873,7554,6072
+,8254,4474,4606,2703,2470,4016
-,821,0,0,0,0,0
+,4610,1729,1931,9382,2579,6138
+,9057,8288,8704,1832,4253,7391
+,3758,3213,7658,5294,1449,3167
+,4458,359,5151,2755,5024,9432
+,8402,9750,4513,8480,5024,1368
+,1079,8197,4431,5610,2657,1847
-,311,0,0,0,0,0
+,6138,3733,7756,7877,9896,3524
+,915,4633,739,7820,8402,6737
+,7120,9545,216,4371,7119,4535
+,2133,686,3711,8661,4759,7536
+,9959,563,6497,2292,172,7985
+,5330,3987,673,8261,6013,756
+,3944,6097,2952,9867,1766,3920
+,6281,6377,1711,7672,2677,4761
+,6166,8187,582,1784,4757,8976
+,1595,2429,8396,4970,9419,8998
-,930,0,0,0,0,0
+,9327,9246,5002,6654,1867,7238
+,4622,9204,7892,9188,8523,8028
-,138,0,0,0,0,0
+,9661,5434,7114,7117,4551,795
+,8644,9529,9449,2918,7530,873
+,3196,9159,9255,9224,9474,1474
+,5585,8383,3527,2688,9813,3678
+,3037,89,1159,8962,7575,5795
+,6585,8769,7732,9282,8982,9363
+,3823,2247,5747,915,6966,2808
+,5230,3053,956,3043,7428,5318
+,7305,897,7779,4250,7587,9065
+,446,6644,8844,6897,6846,7693
+,1873,4874,194,6544,5373,2634
+,4838,9017,9406,2869,10000,6511
+,449,2290,3014,5749,17,3977
+,7583,8381,1914,4799,2521,7206
+,3863,944,851,7404,5373,897
+,8794,5619,5052,3342,9585,8429
-,598,0,0,0,0,0
+,3434,9010,6605,9343,7052,9377
+,5258,7446,3558,8320,1281,909
+,8054,1922,9535,7685,9376,7064
+,3572,339,8565,1614,6543,9013
+,6888,1401,5877,7399,6466,1887
+,5874,3125,8650,3942,4035,4509
+,9405,7478,4315,3112,5362,8515
-,142,0,0,0,0,0
+,8700,9520,6958,7369,4303,9117
+,6810,536,3870,9456,8222,1452
+,4704,8578,9073,5959,4707,5369
+,238,9265,235,912,8414,7289
+,2620,4669,5624,3794,2250,9435
+,3722,5202,6449,7377,7630,9763
+,5934,8571,4024,5768,9516,4818
+,2362,3392,1722,7410,9975,5900
+,1253,1849,2757,5679,2436,5513
+,711,4498,5138,3424,5481,9835
+,8759,5903,3399,7917,8612,614
+,2397,6232,1236,4738,6915,1246
+,5007,3838,3693,288,7550,1621
+,4388,7796,2831,8800,4379,5250
+,6369,3122,6895,2937,577,4795
+,5660,2717,8672,4899,1423,6930
+,3288,5891,2164,8592,7516,5470
+,8488,6809,8296,7780,2504,2533
+,8944,9866,5840,8905,604,1629
+,5870,9234,6416,359,9682,5734
+,3462,5085,1670,415,168,8423
+,1200,8137,5933,417,2406,2695
-,607,0,0,0,0,0
+,6347,3230,6109,8183,7705,328
+,581,5929,8921,1261,3459,5398
+,294,4898,5177,3011,499,7967
+,7958,714,6307,3484,7419,9798
-,564,0,0,0,0,0
+,5327,4243,76,2025,3049,2072
+,9976,791,6789,3911,3031,2321
+,2948,986,5662,8193,1657,4453
+,9021,7134,3608,413,9670,3749
+,4809,5403,9598,3163,4147,5901
+,4397,8335,2305,51,9902,6581
+,5014,2909,7047,4542,8237,9737
-,311,0,0,0,0,0
+,5313,7455,5838,2707,7824,7406
+,9917,1301,5990,3410,2583,8061
-,292,0,0,0,0,0
+,922,7062,1417,2404,4140,8830
+,7978,735,6149,670,2330,9177
+,3684,196,2299,4513,6966,4036
+,1879,7949,2847,8824,95,7668
+,8139,8709,4665,8207,9103,5831
+,6329,8961,3969,8674,9251,3817
+,7998,1982,8403,564,1111,6801
-,498,0,0,0,0,0
+,9358,8951,4712,220,6325,4787
+,2643,2513,8330,8151,9927,673
+,3645,5332,8162,8606,6529,9185
+,8184,3699,6698,719,4942,1691
+,6328,7242,4771,3553,8086,5662
+,200,1943,8287,4444,974,4955
-,986,0,0,0,0,0
+,2684,9213,9672,77,4055,9994
+,6435,1734,2358,4460,5578,177
+,3375,9972,2820,4624,2989,4151
+,2382,6868,9474,5800,8421,3226
+,4814,1033,4409,9936,6293,5309
+,5868,5040,9319,9569,7167,8114
+,5271,1736,1355,6180,9617,2765
+,6895,5360,7493,4574,8212,7293
+,9677,6815,5911,6642,9126,5592
+,2683,471,6527,2980,9445,6302
+,5056,1366,1704,2221,47,7833
-,654,0,0,0,0,0
+,4747,2095,1117,9080,6250,3680
+,4057,6152,2854,2889,8978,7873
+,1302,4056,5289,9275,3714,6319
+,9792,1186,7165,8237,5745,5542
+,1025,6464,2382,234,5016,3215
+,3856,3246,2909,7468,1620,3591
+,1799,5311,5527,1176,1664,9924
+,3679,9872,4586,6208,56,1372
+,2802,134,4022,7729,9761,2366
+,1000,8858,1599,1411,1713,8659
+,8458,2013,2222,4654,5964,9496
+,7970,5911,8734,5826,5577,8155
+,201,681,1005,9857,2435,245
+,4070,4812,1137,6574,9368,9741
+,8598,3355,7427,8254,2232,3389
+,4457,7947,660,3556,8075,2498
-,607,0,0,0,0,0
+,593,308,5134,8830,9950,4925
+,4658,8245,7739,6605,3522,802
+,3508,3302,8448,1854,3079,3360
+,8277,5208,5724,3626,500,3043
-,57,0,0,0,0,0
+,5594,9290,3572,6519,5906,2751
+,1379,886,1505,8135,6630,2338
+,2336,3218,3944,7607,4742,1928
+,3771,3538,6289,2558,5161,2235
+,5676,7041,3394,1213,8094,401
+,2267,2426,7834,6640,1395,6476
+,5269,3764,6923,9990,6901,1151
+,2765,8555,3304,1494,8440,4086
+,4120,6804,773,9622,1875,246
+,6258,9137,2915,7974,8866,2029
+,8946,7694,5858,9392,5147,2314
-,148,0,0,0,0,0
+,5015,9000,5571,9197,5213,6659
+,2244,4265,2900,1752,9879,3264
+,8491,2421,1594,330,4389,71
+,7538,6960,3640,9572,9037,6356
-,927,0,0,0,0,0
+,49,4822,6575,5297,6791,3152
+,9181,9371,6504,2267,1039,8091
+,3287,7967,1176,9,1519,6731
+,6606,3877,7360,8271,8058,8868
+,9551,9117,8007,1577,361,7260
-,153,0,0,0,0,0
+,8682,5985,8181,8778,7283,7209
+,5645,4413,4190,3014,7804,8927
+,7662,6689,1629,5598,3334,2170
-,192,0,0,0,0,0
-,575,0,0,0,0,0
+,2638,3278,8538,7422,2820,5393
+,5302,5020,7784,2406,5436,3490
+,8448,1822,346,8341,4866,2219
+,5081,323,4996,3813,129,2793
+,7889,844,5475,1310,4821,3135
+,9336,633,7621,2493,1873,7841
+,3551,1267,687,8900,1183,9331
+,9793,9670,4221,8613,2921,4106
+,5296,4884,508,1324,4797,5118
+,5154,7926,3513,1606,1210,6162
+,7626,8479,1950,6712,6240,5046
+,8531,1980,9223,1657,9954,3766
+,5246,668,3021,8261,8872,8028
+,2173,7799,5081,5066,6875,9047
+,2821,8574,2621,201,235,8507
+,5664,5647,6585,3789,7776,5789
+,7503,3756,3194,3048,6353,2402
+,4941,1420,3618,6799,4070,6697
+,3941,1833,9905,4804,7933,8573
+,6394,1990,956,6608,4786,9500
+,4477,9209,6723,8500,534,5736
+,1646,7129,8611,9988,3323,2014
+,1700,9169,4723,5835,7275,6181
+,6983,4810,4171,8416,5143,6973
+,215,804,8818,4820,3715,6503
+,8287,3662,5814,9757,8844,781
+,9648,3025,3206,6685,7623,4128
+,9682,318,1062,917,4510,2629
+,1569,7320,6006,4820,1588,2302
+,2973,6116,6200,5212,1445,6668
+,944,8278,5972,4738,6308,1277
+,3590,6005,772,7411,2253,573
+,188,153,4109,5707,519,2486
+,4107,5291,453,1894,3154,2996
+,4473,2565,7500,426,5338,9727
+,4874,1246,5395,7440,1188,2375
+,3027,2501,3798,7734,1796,280
+,9800,1132,1438,3108,4366,3111
-,491,0,0,0,0,0
+,6840,1214,3126,5096,7723,8481
+,2501,1516,442,8130,5371,3753
+,4383,9390,1021,2058,5772,221
+,5652,5244,9565,6274,7745,4704
+,614,920,3768,8060,3158,8371
+,7303,6815,510,2790,4521,8519
+,7266,2238,8749,1848,3322,7643
+,5825,2479,9282,9814,5777,4966
+,7926,6347,443,343,2593,7343
+,2839,2702,5390,8908,5972,4348
-,639,0,0,0,0,0
+,275,2309,1420,2735,6444,9467
+,5708,4157,6338,3519,6918,9059
+,4588,9134,6934,1835,9168,7559
+,4702,6374,2516,545,7116,1984
+,7754,5251,5197,1023,8575,2012
+,258,8243,8339,6224,4339,7119
+,7100,7213,6174,2115,9434,5552
+,5332,7590,2884,3086,7285,7252
+,826,8666,2844,2058,9493,6191
+,4246,4421,1493,1496,9851,2307
+,4995,9461,4903,9729,2552,2373
+,5405,3676,9853,1881,7037,5891
+,7076,3945,1108,8934,5774,3983
+,527,8403,265,3870,4654,3053
+,990,9537,8145,7833,5881,8406
+,2777,64,7477,667,4837,6908
+,8225,1751,5717,5606,740,1862
+,5448,171,204,8129,2481,1869
+,7505,4139,748,4006,5705,279
+,8811,8100,7500,5532,9206,2692
+,9444,4246,4187,4445,350,7317
+,632,8379,691,1297,3987,6163
+,5354,5191,6010,116,3700,3458
+,1158,8532,1928,8121,3181,4663
+,4361,6584,8069,42,314,8826
+,7702,3731,2567,7511,2776,6911
+,8187,516,9928,5264,1623,5325
+,2228,7265,2099,9947,4164,954
+,7844,2565,2241,3867,2015,7307
+,5721,3761,9486,7692,1136,7827
-,462,0,0,0,0,0
+,2160,3270,9546,7887,3177,6405
+,4075,2840,6754,1382,862,8095
+,4778,8234,8998,6704,7538,8978
+,5036,6267,7127,9887,3414,4300
+,3558,3824,7829,6060,9459,9121
+,4508,6536,6280,4029,2129,8209
+,3755,9860,8704,4124,8852,6976
+,5935,5388,8460,2995,9473,4676
+,7548,3000,4272,7718,7763,618
+,8601,4285,7819,7656,4903,3347
+,9080,5631,9559,5160,2790,8617
+,5504,400,259,5331,1343,4315
+,1057,6553,6197,1576,1290,5434
+,2153,4280,9777,9076,5692,5008
+,7962,6377,5128,2821,3881,5492
+,4073,4249,8993,132,8426,4127
+,4201,2707,34,8393,6724,3252
+,7675,1339,2079,6205,2868,4745
+,4245,8123,421,3934,4108,5549
+,5266,5590,9935,5108,8395,6684
+,6850,8070,8035,9398,8169,6865
+,4760,557,6345,5764,8061,1691
+,2299,2475,9917,7183,849,6820
+,9237,5524,6401,2939,6548,4796
+,1760,281,150,1288,2944,9609
+,7118,8095,9929,3639,3598,4614
+,6359,4537,3902,8803,975,4749
+,7618,1562,2867,48,6552,6855
+,8223,3971,3057,6315,8459,2797
+,9858,46,1510,3401,6617,2679
+,9312,9824,8254,5825,3155,2444
+,6915,4823,8363,5849,8216,2334
+,6576,277,9641,9610,2268,7035
+,2767,8931,9139,4052,1338,702
+,7261,55,9630,2253,5759,3244
+,1250,7869,5716,4098,7906,501
+,3120,2375,4708,5704,8616,5046
+,9346,7508,9272,2871,1168,2296
+,723,3341,506,5379,5999,8031
+,333,5371,9193,2041,8338,5533
-,230,0,0,0,0,0
+,2312,7739,544,7559,5661,3333
+,3409,5147,2198,348,1681,4856
+,6997,7884,6382,3845,1049,3960
-,128,0,0,0,0,0
-,62,0,0,0,0,0
+,9427,3776,393,8028,5988,4186
+,2854,7945,8171,859,1092,4258
+,521,9054,2798,1637,4626,605
+,2518,9404,2025,300,3511,1085
+,5689,1839,2178,7612,2761,42
+,425,2141,9757,9824,4612,6526
+,8865,9298,5837,8661,7031,9695
+,9064,6695,4476,9229,3628,8660
+,2104,1881,4642,2349,4471,3855
+,6041,1359,9922,8536,3407,6631
-,135,0,0,0,0,0
+,309,4377,199,5666,470,9792
+,8579,2791,7150,9650,3777,4830
+,2912,1831,1366,8901,4609,7486
-,446,0,0,0,0,0
+,8672,2871,871,2920,4997,724
+,2881,7862,5663,9116,3735,307
-,454,0,0,0,0,0
+,7967,1548,2051,9928,3568,3781
+,8385,3668,9632,392,6634,973
+,5134,3477,7946,4188,9889,8814
+,9301,6975,9330,4938,5565,1664
+,3513,4972,619,7780,6296,7306
+,4799,9311,1387,7851,6863,5800
+,8684,7293,5730,4862,6311,6752
+,9380,6930,7250,3786,6696,1550
+,1536,6184,707,483,3905,8417
+,7209,9534,5754,3439,7431,9553
+,9554,6051,781,4077,3437,6166
+,115,2952,7848,6137,2401,6051
-,810,0,0,0,0,0
+,1938,8373,7007,4643,748,3046
+,709,7654,4021,1499,2680,4058
+,7908,6219,4242,5878,9158,2146
+,1716,2785,3027,2660,1558,1355
-,315,0,0,0,0,0
+,4093,4565,3799,3624,7503,7317
+,1,1614,4729,6540,9520,908
+,237,7479,7844,3462,1948,2401
+,4134,8057,6314,5758,7790,2010
+,5141,2156,6031,2662,4388,9016
+,839,8057,7212,9750,9863,2372
+,7257,3174,8107,5572,3240,6458
-,794,0,0,0,0,0
-,800,0,0,0,0,0
+,2736,6977,243,1933,135,5259
-,925,0,0,0,0,0
+,1086,1775,3716,8614,8212,7834
+,4225,4144,2578,1782,6868,8363
+,3959,5323,5369,56,2459,4947
+,8873,7106,3316,7368,5511,7460
+,6473,2357,7758,8716,2954,6081
+,2251,9632,4177,1087,6933,1994
+,7459,9076,4081,4261,899,7118
+,8928,2255,2128,6571,9896,7330
+,5179,5013,1473,3419,2280,5959
+,1209,9454,3592,5021,5533,9564
